"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.705276,14.551403,8.411551,36.883228,11.195322,89.469841
18.131922,13.415994,7.627012,6.742696,22.879526,1887.540649
6.345517,4.916939,3.729159,7.837213,1.113853,2.847136
15.901845,11.870008,5.577559,32.186649,9.123096,41.105209
28.220041,19.274935,9.881420,7.100230,0.712346,7.846053
4.734285,3.547737,2.404957,10.772074,3.438723,22.638659
22.149206,15.609513,8.118349,35.655262,9.166450,39.651142
18.155991,12.838971,8.109195,35.053833,10.886848,74.380630
23.655357,17.030598,6.848326,5.828658,1.095653,4.679704
14.026273,10.001941,3.258429,7.391962,1.362250,1.953732
14.925131,10.649224,2.125532,3.873115,0.741077,1.639113
33.335114,23.942551,9.511168,81.444870,22.028620,175.799149
20.988588,14.669160,7.262207,13.480902,3.745928,18.669445
30.305004,21.395927,12.047379,7.755567,2.244063,23.127689
14.286793,10.035956,7.049204,27.805912,6.330128,29.504892
7.426971,5.403810,2.603553,4.474946,0.995448,1.919171
21.212801,15.267282,6.887752,5.730962,1.157171,7.175251
10.266099,7.623633,3.245680,28.985970,7.386400,18.973324
15.424414,11.576491,3.919214,32.797890,9.547778,44.105137
14.164861,10.289739,4.713305,8.612856,1.886778,1.931964
10.114650,7.005196,2.870715,9.492100,1.981641,2.141078
15.268586,11.173796,5.732039,3.506890,0.891042,1.306201
17.656626,12.457741,4.802505,8.604200,2.094843,1.788858
16.677259,12.047666,5.557960,8.469924,1.882697,5.335673
16.686127,11.951567,5.459311,6.466284,7.689388,499.001770
7.137098,5.271464,2.538865,14.973999,4.967613,17.172091
17.917652,12.672862,9.371243,4.736963,1.087744,20.597889
26.386221,19.064140,6.665966,10.459506,2.385617,6.388140
13.802421,9.701492,3.975857,35.691631,10.975691,42.711239
14.155886,9.912450,3.389289,18.740131,4.703309,35.021873
13.524035,9.823450,4.161002,16.126574,6.029673,47.633152
6.152699,4.443193,2.102412,7.624054,0.979599,1.276953
15.530160,10.836051,5.226398,31.969425,9.140574,33.139790
24.835466,17.058012,11.059859,56.930576,12.835422,50.755306
6.479088,4.223945,2.622446,4.833902,1.004986,1.653262
26.120829,18.460873,7.521049,46.438278,11.816863,47.014690
14.171622,10.225821,4.640121,3.115220,0.634033,2.732326
23.363251,15.934594,36.380840,196.899857,53.003033,338.305511
13.529008,9.319179,3.255433,21.922421,6.164824,29.052010
9.749710,7.340809,3.689420,24.613213,7.324508,45.189999
23.834843,17.067764,9.809369,5.614636,27.847412,2255.000732
88.971085,42.951267,59.020252,293.388763,80.206787,399.895844
23.542109,16.736071,6.903135,5.573459,19.454397,1375.194824
12.811718,8.954382,4.716341,17.187021,4.816022,30.345636
21.657572,15.124870,8.047813,15.354939,3.485953,41.542526
35.481258,23.340431,15.420855,53.288727,13.730362,44.777443
