"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.233993,3.412487,1.609282,1.842431,0.775661,0.346895
4.384405,3.497781,2.143734,2.474746,0.134999,0.699388
13.387277,9.555612,4.558442,7.976618,1.281854,1.299379
31.679678,21.818739,10.531813,10.528769,12.136398,894.001709
8.814094,6.076084,2.732425,2.235339,0.726644,1.165317
30.545731,21.507332,8.513773,6.382591,25.214561,2073.281250
15.021660,8.224259,1447.207397,98.351952,1.552770,1.504105
15.982697,11.740338,5.145937,6.461431,1.114173,0.738829
14.704816,10.103106,7.663311,26.971809,6.882764,24.897060
4.839815,3.593249,1.271008,2.201792,0.740287,1.732113
13.198648,9.413262,6.186161,9.081157,2.867903,18.718061
18.150646,13.169846,3.927804,28.949799,8.645701,13.055856
9.625261,7.024506,3.015704,4.619722,0.922075,1.536878
21.854891,13.949637,29.051264,153.723740,38.207081,121.933952
9.521987,7.274116,3.410366,3.838906,0.575188,1.319980
9.636011,7.387453,4.683910,19.301962,5.785275,10.101196
35.249851,24.285227,12.363882,16.361517,4.284856,18.327682
18.362335,12.796363,4.761267,4.461343,10.220977,937.830078
10.091264,7.181960,4.126535,12.187336,4.143138,7.949096
25.299421,17.812323,6.886600,40.915588,10.075951,25.856075
25.871033,18.449287,7.060026,9.974657,10.278049,679.644165
23.711550,16.727995,20.248074,19.963875,3.529022,8.658943
21.395552,14.929665,7.790785,11.420905,11.853221,839.211426
19.086472,14.061826,5.375660,10.836242,2.240147,2.143646
13.133077,9.235502,4.361940,6.101685,2.120321,6.704106
9.439075,7.041484,8.268785,4.436380,2.104441,24.789345
21.084658,15.358409,6.497347,9.791303,1.892006,1.356369
11.459120,8.321953,3.180830,5.015547,2.732343,8.704414
11.847170,8.099319,21.451576,107.656982,30.703342,73.094467
18.909969,13.391454,5.147942,5.228529,0.564041,0.649508
13.584801,9.838709,4.078788,15.311587,4.253147,19.637691
27.056360,19.000078,10.220097,8.696404,15.613592,1282.094482
38.742943,24.263784,34.272762,197.715302,51.090874,104.115013
16.181606,11.366483,5.887561,4.010141,0.685705,17.508905
9.510262,6.695868,3.169344,4.816030,0.358001,0.205591
17.184586,11.869077,6.941981,20.197891,6.040475,20.617029
53.226582,34.456779,18.187466,21.077068,2.864520,4.326552
32.113621,21.855003,8.571249,7.708858,8.729305,693.381775
8.238751,6.297938,4.806765,5.754970,0.635076,1.070843
9.853371,6.684681,4.086189,3.380698,0.436452,7.250284
13.826250,9.621474,4.490517,5.911320,0.702679,0.912115
46.212944,29.264135,51.957047,234.731262,59.253086,239.354446
10.212808,7.260362,4.215113,4.440343,0.838415,1.311727
13.662447,9.961462,4.380338,24.046482,5.484453,11.322161
19.548616,13.385368,15.718685,125.939163,33.983566,68.083168
24.825684,16.550270,9.358507,70.750145,17.683756,20.785414
10.540949,7.927528,2.408645,5.243992,1.033522,0.282630
5.043907,3.582880,2.186016,2.719490,0.436498,1.801957
8.586859,6.311968,2.966370,4.592142,0.319462,0.164722
35.290844,24.570583,15.311380,51.842941,12.749698,33.049793
64.403862,34.696766,147.526398,539.811646,133.891983,448.700592
18.930376,13.364838,11.736315,48.379978,12.691410,19.729248
63.540234,32.558449,97.296265,648.572327,167.047165,420.229645
8.458912,5.960605,7.183062,11.703407,1.947886,1.532668
13.795918,9.716003,4.598355,5.831616,0.983109,1.718932
8.903121,6.220031,15.729609,72.441719,18.437325,25.815456
40.227711,26.735643,22.389204,91.267281,25.122938,113.817078
39.220406,26.919262,14.079128,16.356371,18.264236,1504.481689
16.665352,10.429129,5.642465,23.933012,6.571400,20.680254
67.654152,37.263889,78.359650,272.010498,68.924004,183.585953
68.423134,41.206917,31.814220,301.259430,79.219765,220.949081
5.964926,4.411066,1.820537,4.222035,1.277254,1.082472
38.789803,26.659481,25.060154,180.931686,44.628227,89.842705
15.935134,11.760420,3.811206,27.905817,7.375843,11.900124
19.414526,13.889562,6.741229,45.622910,11.521861,22.844477
23.861868,17.022955,10.254727,8.772864,20.487480,1719.484009
12.605906,8.857194,4.888659,55.461658,13.366838,28.256136
13.566194,9.791264,3.296447,13.155364,3.256476,4.706759
13.018580,9.560254,3.201654,29.928724,8.044868,41.887535
31.327517,22.409019,8.637104,6.765019,8.073917,635.603516
13.196236,9.615846,4.391024,4.963992,2.277677,1.928106
6.793387,5.075783,2.687215,3.414271,1.193446,1.439949
11.486414,8.236606,4.143400,5.269101,0.997148,0.668425
52.532204,34.367481,16.972088,95.101372,25.459282,63.573284
4.445045,3.531773,2.398223,2.232817,0.490132,0.681885
8.912151,6.269155,8.551767,48.233589,11.844848,23.537657
9.205250,6.635421,3.155957,2.665636,0.648645,0.891206
5.668308,4.086118,8.252737,29.602861,8.477468,18.705030
102.370514,50.448669,48.083332,194.793594,47.478481,131.540436
4.422052,3.431475,1.711405,1.157797,0.365706,1.245464
33.690693,24.001163,31.827003,133.122238,36.340836,78.501045
38.056545,24.339779,10.952001,51.821083,14.890998,55.671322
12.133288,8.515256,2.982530,21.431047,5.779423,12.155021
25.983255,18.782660,13.140582,11.141012,34.095684,2628.081787
23.028791,16.146280,6.337967,7.786302,0.460580,1.747090
54.400650,32.004833,32.106480,124.923691,32.227097,146.186523
