"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.501532,14.475109,11.682216,6.521448,21.257530,1536.508545
6.965192,5.206766,3.287572,1.338056,0.560365,6.361392
13.708982,9.525094,5.595046,3.508496,0.831467,6.989979
13.614166,9.642225,4.262144,3.458414,0.808815,4.945595
15.426914,10.867343,4.726995,6.396054,1.051924,4.696920
4.580582,3.227303,1.850910,2.189706,0.103717,1.188098
19.418291,14.510880,7.503536,5.808211,1.452684,6.880149
17.033600,12.320172,13.159961,8.313020,23.694273,2195.337402
55.332554,31.648518,21.904110,15.429757,27.979448,2505.298096
19.130655,13.847156,7.469187,9.515214,19.277630,1545.907837
36.557991,22.429008,19.972998,13.570726,31.395967,2627.293457
28.155666,20.082077,25.024487,24.699722,24.330595,1540.738770
25.027771,18.087128,9.714312,11.200372,22.243952,1615.636963
44.763844,30.841118,15.246554,9.860946,27.923252,2276.569580
80.286316,42.445625,87.582634,61.413338,162.778732,5453.064941
9.400094,6.532960,3.833180,15.008990,5.006034,27.534019
139.167633,50.866039,86.870705,71.526733,189.808426,6262.474121
28.185055,20.608862,13.368657,12.929327,24.636925,1701.528564
17.154470,12.400466,4.169429,3.819437,11.116983,831.817139
34.946991,24.114202,29.913513,28.683661,59.750744,3399.202393
21.939085,15.550117,8.175269,6.110625,0.987931,3.481514
66.877182,38.853241,34.381634,33.425434,96.644676,4544.875000
45.080170,30.005346,15.368720,15.431491,26.909004,2278.793701
5.517678,4.265683,1.858355,2.143064,0.492218,0.685252
20.557308,14.865995,9.123171,35.394691,10.280899,77.568520
46.878361,30.478985,12.822694,8.579223,29.599474,2420.299561
16.738068,12.245616,13.203104,12.129024,2.653374,12.701823
61.544975,35.818291,68.115150,56.631290,83.119217,4355.257324
20.322304,15.255692,5.255527,3.581918,8.394903,676.566101
53.843533,34.433323,21.426203,23.036676,34.990028,2469.050781
110.493004,48.367149,92.669128,80.471100,167.250229,5798.781250
24.557789,17.581011,7.778714,7.187965,0.800874,3.250075
59.525074,38.484974,18.823786,28.484291,26.437565,1718.930054
36.985180,23.207304,38.268936,71.257156,103.434639,4308.360352
9.731880,6.756904,2.947725,4.444282,0.626089,2.393183
73.683090,40.311459,77.473961,61.672783,180.490250,5416.750000
32.851944,22.127676,9.737353,8.973821,20.543983,1586.484863
47.655533,32.139427,14.547809,13.764056,40.156284,2798.524902
38.779259,27.171963,12.177378,9.172189,1.432189,4.287891
98.647461,41.581532,63.730255,61.280407,197.487778,7148.238281
130.891037,52.193497,76.323616,61.569817,131.722305,6434.520996
10.146265,7.535620,4.809423,2.789263,0.552690,1.199974
99.468010,40.982285,73.213638,62.204224,94.869141,5835.174316
78.103493,48.840858,39.775009,41.940418,125.376671,4761.036133
118.447807,52.692009,72.117104,57.237324,99.439766,5633.579102
42.587360,27.216164,54.986969,61.603004,121.683762,4485.229004
76.822853,35.042397,77.222878,54.364738,153.371460,5541.947266
27.538219,19.131586,7.755083,8.964137,9.773085,832.390076
34.473370,22.638872,25.382044,28.173101,66.826561,3851.757324
88.958344,49.106712,37.812843,27.429125,90.795280,4978.105957
61.730145,37.901112,37.063702,37.898609,80.092216,4195.306152
80.426033,42.661713,65.889946,82.005280,203.476639,6051.503906
53.806873,32.146461,25.852787,18.184669,25.253988,2082.310303
85.017494,47.586582,33.827366,22.855839,43.065327,3336.838867
28.051014,17.467468,25.648569,24.822920,52.734684,3397.341553
9.178357,6.693053,7.622649,14.252480,19.466780,1324.891479
80.698174,40.376999,41.670044,42.092922,117.959793,5125.812988
96.884201,51.302807,37.899578,30.554276,65.318916,4248.351562
60.081200,38.963066,24.801771,20.916136,43.395874,3252.722900
52.762798,34.578342,16.992676,14.096203,22.805834,1800.963867
45.053074,30.281626,49.986965,25.737165,63.323975,3790.449463
133.513718,63.569389,102.985962,70.879265,167.337692,5899.253418
40.469814,28.276913,15.966632,13.291331,29.976362,2072.005371
4.764829,3.413862,5.405432,6.290830,2.829082,14.298612
29.866356,21.610508,8.521329,6.678763,15.546745,1228.036255
142.349304,69.818359,61.841877,74.250504,132.751724,5594.417969
79.609863,41.892471,63.699863,44.302078,87.301743,4874.652832
9.948802,7.471927,4.776289,3.068133,0.736455,9.271393
32.578232,22.621778,17.085003,15.262562,37.227066,2732.679932
37.211140,26.376305,13.019438,16.198118,29.306433,2299.832275
64.168571,37.508911,21.080353,19.347771,28.028357,2276.663330
49.215523,29.550880,60.025730,26.991655,74.592171,4335.868164
73.285896,41.180332,45.443142,38.133030,94.824135,4517.528320
15.879307,11.021538,4.532837,5.710342,0.380608,3.836283
47.953831,30.082066,22.994478,17.889116,30.315739,2391.624023
50.472832,33.384022,13.341595,6.304736,35.779682,3031.477295
11.836081,8.344406,3.684983,4.091861,1.038265,4.501449
53.055420,35.534481,42.331997,63.042282,118.815056,4244.018555
39.616638,27.346865,26.321793,24.486668,51.571285,3455.748047
96.937195,48.811115,48.465832,38.264656,85.656792,4568.155762
70.129128,44.600533,40.834736,29.779943,76.657593,4051.315430
64.915321,33.983334,79.975548,102.007027,121.468216,4988.273926
36.389828,22.950069,12.026010,22.224585,30.750862,2118.534912
31.194874,19.942327,33.701092,35.415424,61.315483,3675.709961
27.396826,18.984415,5.823239,6.971316,12.024079,931.280823
51.569645,33.042431,34.097469,36.193943,62.070572,3908.341309
86.272049,50.405838,22.425240,19.340237,63.979218,4300.274414
86.330101,42.197929,123.357780,130.420898,232.635727,6215.897461
88.069183,46.924877,46.165680,37.063229,85.791397,4727.442383
21.330860,15.334722,11.100904,7.463461,16.483170,1581.245117
33.612286,22.460703,7.413918,8.039123,20.457361,1686.463623
65.338165,39.771133,45.159184,31.210466,54.273609,3749.845215
82.629883,50.977379,29.141249,22.317434,47.285316,3562.896484
68.672211,44.135757,30.156746,26.843224,51.105381,3417.351807
39.420593,25.933372,10.916576,23.489933,9.030269,41.768581
16.511415,12.134366,7.534142,8.022936,18.954580,1536.432129
27.229750,18.556107,6.705081,25.890621,8.973145,47.406452
113.438690,63.517765,62.416718,59.774921,117.551292,5167.200684
72.616280,33.616398,43.751919,25.995628,80.775528,5279.852539
58.687901,26.273888,38.308117,28.349777,79.040291,4119.459473
20.877253,15.336623,4.421599,5.653255,14.754412,1152.248657
49.694435,34.132690,19.346067,11.832536,36.886772,2888.971924
37.041904,25.220371,12.785195,11.457531,44.746552,3022.966797
30.624498,22.096323,10.898760,21.016392,31.555613,2015.404175
104.228096,54.858341,58.163563,75.329460,171.948502,5178.234863
53.526512,33.718025,23.677628,15.612054,50.644775,3595.258301
79.349243,43.523556,42.857883,31.800215,59.179165,4151.806152
20.955803,14.924372,17.014687,13.674238,51.861446,3081.757568
160.173111,60.548985,127.192635,121.890434,269.093384,7308.670410
130.603317,48.565228,114.570496,83.270737,171.450363,6520.934082
16.549334,11.890312,12.592130,12.582117,27.113922,2108.428467
206.561096,101.855705,92.398087,91.395279,163.124863,5667.994629
56.858009,37.775295,14.062649,16.952995,39.423000,3041.722412
4.852797,3.655513,5.796938,10.565130,3.495596,17.260508
22.509275,16.656332,4.871126,21.576839,7.543056,37.135128
31.734095,22.586906,13.041769,18.083410,20.342257,1498.655762
33.492619,22.143932,46.117237,72.505783,118.030441,4401.637207
37.588173,24.410414,27.431496,20.444221,47.414742,3400.871826
120.882851,50.003227,71.793907,63.059143,100.821960,5832.916016
11.855687,8.122533,22.840487,22.447712,29.845577,2191.516113
47.715546,27.135384,61.661427,65.153969,102.111549,4565.387695
38.244751,25.327148,27.456738,34.024448,45.268623,3208.432373
27.569530,16.759035,38.940903,50.458664,116.320236,4584.121094
81.215019,42.862995,65.527519,65.071655,146.241318,5306.541992
25.123672,18.337116,12.787765,10.276895,18.171650,1552.116699
43.016415,29.835121,13.933503,44.700745,41.649429,967.674683
25.383177,18.115078,15.990080,17.180874,21.225567,1467.511719
16.587021,11.211132,2.594852,16.057732,6.673299,34.766003
69.131729,43.948051,21.704323,14.902875,40.967514,3278.355957
47.326057,32.203575,14.975886,18.234421,27.327852,2193.341553
45.439457,25.571114,42.679901,36.367535,81.830322,4376.069336
62.353149,39.959534,21.863983,23.342457,40.341537,3147.737549
25.106197,16.984661,16.366661,28.469412,15.333512,41.273556
26.028391,18.457088,5.269473,18.824799,7.005616,29.350483
121.004303,52.422825,79.250229,77.216942,212.514801,5716.221680
45.651688,26.726280,61.992805,53.025845,105.433334,4569.761719
55.561901,36.640919,32.413429,18.060297,42.136429,2832.188965
60.043385,34.430992,52.205750,45.352840,103.843422,4568.712891
5.777973,3.883674,1.558570,4.125149,2.711750,9.661780
59.578594,39.846977,29.026525,27.776878,53.246284,3391.061768
70.301552,40.671215,32.864700,26.126896,62.571049,4062.972656
107.720375,54.965561,32.571552,23.913818,64.522720,4656.824707
61.349781,39.954067,22.129827,19.814819,57.734055,3894.863281
28.749025,19.237528,30.391851,22.853817,54.422016,3405.523926
20.915880,15.303029,5.278296,6.853168,8.024792,564.754700
46.777542,31.435009,16.460659,11.450319,23.290987,1884.067505
76.263756,44.257027,78.663971,53.153019,106.680351,4771.224121
47.727631,28.938553,86.587570,100.308128,134.426132,4704.412109
113.365753,48.540695,60.963341,51.184639,97.676872,5080.283691
111.294395,53.319408,45.303627,23.096087,49.249249,4327.793457
41.416290,25.330423,32.839146,24.528622,42.706665,3262.651367
66.816841,43.563564,24.228741,16.043427,31.668409,2680.426025
19.192116,13.810534,6.753708,7.130816,11.322740,1115.106934
12.029634,8.796248,5.870800,6.024884,1.509627,3.754498
126.309944,63.013203,33.646500,27.803898,65.309662,4994.078125
57.601929,34.171734,35.178665,63.945545,88.507210,4119.212891
48.566143,30.616255,88.823387,53.075436,117.280525,4367.523438
18.392324,13.615860,13.440123,14.604523,27.433998,1877.688721
16.291269,10.914661,22.859604,27.456381,46.399662,3129.129883
92.026062,51.276802,37.350632,23.204763,51.134548,3953.682129
21.466621,15.289095,6.229557,5.938874,1.303832,4.074367
36.718536,25.855495,18.073221,20.768986,31.978600,2705.455566
118.829750,61.635273,63.988239,45.988350,126.166496,5472.254395
41.770931,27.592300,29.848207,19.512451,42.925770,3128.707764
25.626871,18.703281,9.851252,9.689583,20.709805,1720.408081
65.158661,40.911007,26.343679,22.362082,57.455509,3674.970215
85.879768,42.807884,69.497971,72.755600,160.347641,5608.662109
30.298006,20.449175,9.136163,23.951382,10.153243,46.345024
15.710149,11.465851,8.382842,15.862000,23.032755,1850.092529
57.565350,37.687237,19.463345,12.891582,27.033129,2207.929199
27.391270,18.660471,6.781453,5.389447,14.496784,1268.831055
111.495781,55.486694,51.509628,30.093472,51.874573,4223.543945
29.346344,19.251831,20.257483,18.294270,43.247135,3279.379395
58.815575,37.688416,15.240277,28.423243,40.740955,2836.027588
145.750015,68.936714,78.723396,58.067997,135.543594,5453.847168
68.278282,42.929920,18.085276,14.823782,31.537399,2722.680420
12.625781,9.050900,15.637381,13.068204,28.550875,2239.629639
24.597084,17.511652,12.626201,7.666887,22.772850,1991.590942
65.407585,42.284512,25.837997,11.600596,37.500225,3100.114014
30.405455,21.385359,17.829769,11.845162,28.604889,1871.482666
30.356113,21.237368,17.325594,12.805580,38.503109,3135.333740
146.062866,84.760712,82.511436,68.002892,166.502869,5459.624023
24.439600,17.118746,11.979763,6.783085,27.727875,2191.661377
18.432915,12.742752,12.125614,37.513660,33.001308,2253.564209
31.408384,21.967411,11.466501,12.031991,31.854279,2355.890869
29.650322,20.055265,6.056449,13.379848,23.097250,1682.477173
31.770050,21.401428,20.902706,26.823616,20.191168,1314.687134
13.537945,9.740987,5.128378,4.755332,0.728190,1.691771
65.792442,37.000774,60.955692,51.373199,119.014290,4616.056641
40.572701,24.968016,37.179462,34.488277,75.217445,4014.476807
5.157314,3.684366,3.812351,4.500014,1.410048,6.891495
61.169861,39.697845,24.270979,23.097420,56.692047,3839.383301
68.970177,40.256653,22.027794,19.230961,61.221165,4014.432373
20.138124,12.861705,16.603458,20.090540,39.742664,2842.562988
25.124098,18.271589,6.220136,21.669094,7.548946,31.587425
162.796646,77.717346,82.852554,77.195190,218.872177,5878.885254
54.995739,31.760036,73.548630,51.268127,112.296486,4514.366211
41.908939,25.160290,38.319901,35.441872,74.617683,4013.372314
19.959927,14.001214,5.392037,3.121615,8.710234,800.031555
92.315506,53.886398,27.888266,25.991669,56.350948,4144.838867
54.240009,36.369659,20.526731,17.790497,35.629456,2952.277832
73.870781,43.192532,38.568092,35.001629,62.930099,3894.650879
53.032997,31.072046,16.730629,15.881324,53.826748,3482.466309
71.164055,43.306324,39.434727,50.845634,63.481033,3525.187012
18.039509,12.641683,13.802075,17.177382,38.130951,2800.540527
23.588497,16.867208,8.355754,7.535405,17.019440,1281.248779
30.220959,21.009262,18.948118,15.604277,18.132263,1296.613892
98.205536,54.835609,35.012657,23.269291,50.127125,3952.298828
37.955814,26.784010,13.981858,8.617069,23.141525,2064.843018
75.745392,47.486645,65.363617,69.699661,144.400360,4829.655762
12.314239,8.801846,4.831960,10.792431,4.974641,243.350372
59.547993,39.310600,35.751724,51.082054,114.833221,4325.056152
27.734833,19.981421,7.556858,9.612326,25.962534,2104.692871
50.597923,30.571545,41.465660,53.488438,73.461296,4121.669922
103.185959,54.568577,80.770851,80.173248,136.815430,5349.416016
28.154839,20.182646,9.017806,12.022449,24.619772,2082.193359
15.651285,11.278794,8.942242,25.137920,40.671730,2565.540039
36.833481,24.256462,11.285192,10.518993,11.881360,1096.131714
12.662893,9.232320,3.892300,1.678611,3.373465,225.991821
21.724508,15.268763,8.603029,13.434105,6.777765,47.735191
46.169559,28.233618,38.828217,44.033585,82.408691,4272.537598
15.855623,11.443595,15.698953,9.745421,2.640500,17.511063
22.017433,15.064721,42.548260,42.676289,69.241356,3527.086670
37.835358,22.980021,48.523441,37.107090,58.784645,3700.465088
96.564537,54.985119,76.492897,57.762905,119.228386,4947.973145
39.712307,26.305346,10.982499,7.802269,23.253874,2018.728760
22.158058,15.949083,15.281021,15.967304,37.979046,2752.599121
97.683182,51.627079,36.978390,34.741970,76.385101,4591.840332
115.109299,58.259922,84.832535,70.269424,167.758362,5485.523926
45.518280,25.038010,56.579777,86.276237,118.407112,4794.197754
27.468039,19.856142,14.657689,15.183745,29.684290,2425.652344
42.241566,25.681904,32.736176,35.217686,58.883419,3754.333496
101.472145,47.175819,92.055161,82.965912,188.103836,5928.376465
14.552946,10.641789,5.422478,2.137151,7.115913,672.406921
35.630329,23.445328,34.216148,26.728985,56.781372,3772.181152
84.020302,47.910542,55.367390,40.111305,74.659508,4415.483887
43.361404,26.421839,18.945330,23.414747,73.537071,4095.840332
25.516479,18.465574,13.327397,11.519437,33.559402,2545.334473
45.744133,27.929443,29.737303,24.820457,39.644386,3134.906738
40.245392,24.709682,37.446033,37.750038,78.065079,4092.687012
53.563160,35.933979,20.031185,40.725815,27.377724,1579.971436
87.023613,49.983913,55.341434,41.692654,80.714066,4601.492676
27.292452,19.646566,16.461767,12.013687,25.358747,2192.448486
121.388977,62.317650,77.469467,78.204208,156.439392,5580.810547
13.151858,9.663412,3.399511,6.448371,1.322592,3.074904
30.328135,20.101013,44.075729,58.917908,55.187977,2875.416260
79.409294,47.155109,30.455202,24.499552,41.168938,3301.251221
81.094063,45.622974,41.408478,29.429037,48.065636,3743.930908
8.671062,5.952566,3.555451,4.761202,0.746186,4.363866
141.292389,58.365131,124.186348,100.666565,236.610840,6018.845215
72.329742,43.684856,37.468624,30.427471,88.848648,4477.770508
5.092963,4.027044,4.890075,5.845692,2.561246,27.505293
56.691166,24.856180,87.146500,104.725441,119.639091,5210.638184
69.524452,42.956474,25.648241,17.821955,48.153347,3640.408691
137.085403,72.813309,91.995041,98.144180,208.398560,5920.375488
24.045547,16.813896,9.559701,13.687181,51.776085,3380.264648
46.955570,32.423752,21.187813,42.836388,42.806694,2188.782715
49.079285,32.929005,16.823574,14.121484,26.286896,2244.652832
88.220436,48.640121,29.533197,32.002468,59.095680,4183.891113
17.904112,12.349414,19.584957,20.809620,33.680988,2629.925293
80.941383,45.192272,66.852791,83.004639,181.609406,5165.586914
14.358990,10.363093,8.845929,6.895195,2.118655,11.189938
63.613026,39.548145,15.272818,15.528143,25.597107,2173.847168
101.547646,56.501286,30.381737,24.014811,63.483761,4523.306152
61.479630,41.137959,42.363960,52.200310,141.539001,4799.504395
11.535428,8.227349,9.379468,11.794350,41.533237,3003.840088
92.711639,51.138355,50.757545,31.952585,72.111572,4431.049805
10.914832,7.485934,4.004686,15.253693,4.710295,19.494698
20.795950,14.968898,26.599125,15.387784,55.863312,3314.711182
67.352020,42.228275,31.393427,29.123390,58.824188,3878.063721
88.840973,51.994022,32.374531,18.012194,51.457554,3702.390869
32.135284,20.711233,15.604824,18.060415,48.667122,3226.303467
92.349258,50.298721,41.610729,52.212391,59.058662,3664.084717
47.679466,31.728861,11.088814,9.266382,35.714283,2966.077393
58.772823,35.003983,25.298796,15.349638,37.894901,2956.698975
116.872955,56.477879,78.750000,87.243248,151.639755,5079.469238
73.163147,36.397285,71.000214,76.701950,155.578064,5390.663574
61.843334,39.884041,32.566166,50.795048,68.132652,3579.499756
30.475885,20.390699,26.415113,28.902197,66.265282,3853.840576
109.970779,53.584896,57.918625,41.056061,76.261993,4880.458496
93.901253,37.903111,106.180496,109.655846,128.053604,5532.962891
36.784718,23.621147,15.286458,30.010183,8.638653,240.172653
18.812191,13.029109,3.783070,19.270403,7.490302,33.672867
91.354111,49.395969,48.147614,50.409569,107.007835,5086.399414
89.626991,50.886993,28.073444,26.703592,60.633446,4272.553711
77.889229,43.563728,41.381344,24.152323,70.723625,4309.588379
28.975788,18.968901,24.258900,29.670351,45.624130,3160.547852
66.820618,35.004387,38.723392,36.582405,107.560928,4980.702148
14.751904,10.178049,17.509069,18.736217,55.758358,3327.735840
78.948082,49.134102,59.004116,55.776424,89.196053,4154.863770
90.960968,50.255245,66.307747,74.920708,125.423790,4722.346680
29.206793,18.779573,21.272192,38.452930,90.514656,4133.986328
7.150591,5.058769,2.601401,1.577164,3.082434,214.490189
26.723347,19.078091,17.896889,16.749413,27.274178,2212.662109
5.262327,3.687447,2.392102,7.665735,3.188915,9.559835
68.966637,36.124405,87.215073,77.517776,202.398041,5866.804199
7.191498,5.378843,4.583364,1.629254,0.408374,1.652670
142.623154,53.290802,118.488670,100.220169,213.997055,6289.803711
56.672165,32.653542,47.757656,41.335899,82.414299,4599.913086
74.184174,45.696285,30.638193,21.238573,57.160103,3800.971191
40.044827,28.020971,14.938910,17.847179,23.434269,1583.762451
92.928650,49.047558,75.515526,45.048195,141.902023,5028.594727
50.833500,34.877274,33.911106,34.719025,66.816170,3956.137451
57.741257,32.466675,34.626263,55.170170,100.863609,4861.258301
31.124825,21.431973,17.005268,14.856731,47.232204,3193.569336
23.914318,17.201895,13.602113,11.934303,33.533035,2391.291992
31.039989,20.277021,17.990978,43.065025,34.454674,2425.155762
70.317413,38.209888,54.703274,43.054813,98.678833,4909.241211
30.185101,20.213326,22.723095,28.825966,53.824585,3266.359863
12.494996,8.825294,4.438921,22.145191,16.712711,1009.420166
92.970474,45.426197,71.699280,69.277611,142.506073,5586.930664
36.531670,24.545229,21.996435,17.191339,28.661242,2273.920654
93.475220,49.269180,37.323788,24.792126,49.936752,3712.145264
125.741272,64.187790,105.684074,82.832695,209.489380,6012.400391
88.493927,48.901115,50.893829,38.717091,77.177094,4298.409668
32.306343,23.134256,12.389258,8.209811,25.605467,1997.409790
132.215942,59.865116,141.011230,142.404434,238.353851,6011.932617
63.625069,38.777870,59.944386,48.485870,104.989594,4468.108887
98.053032,44.503098,63.809013,70.514145,115.913261,4745.554688
97.393288,39.664886,108.897179,74.720398,198.050751,6458.626953
69.136505,38.118649,41.594467,57.224293,107.984154,5079.489258
35.173485,24.631092,14.035408,8.533275,20.464455,1801.909546
29.337101,21.429922,12.548123,13.620270,33.855595,2493.668701
64.617462,34.605900,29.035765,41.383747,111.345383,5145.884277
97.391296,53.954288,41.748661,51.182835,82.955605,4522.612793
66.174835,39.235119,46.365784,38.150799,84.231781,4569.680176
36.818325,25.228590,22.639341,14.654298,34.295341,2577.460693
27.674738,19.440603,9.727494,9.854093,23.670918,2132.437744
78.953354,45.483887,43.896381,45.394310,114.241440,4493.328613
87.588432,45.945297,67.561440,64.314049,166.705170,5642.309082
56.393597,31.582918,42.835495,43.567287,97.624527,4537.747070
26.375717,17.450914,9.177775,11.315939,55.208172,3543.070068
91.589638,46.231689,43.098446,37.540993,62.020199,4622.124023
27.166370,19.253880,8.006561,10.562211,22.160460,1814.230225
60.553371,40.818237,21.153442,20.254520,14.871299,956.079468
29.580206,20.479296,13.688040,23.946789,15.944872,727.450378
17.408569,12.415830,7.534702,7.989642,1.251357,1.323997
55.502499,37.138702,19.920218,14.870368,41.184654,3218.161377
22.630791,16.451078,7.430119,3.563296,10.649784,878.203857
78.375275,45.520466,54.817944,34.812332,82.701004,4201.779297
61.163845,40.647057,18.173515,17.585585,33.693863,2686.679443
76.406975,42.787552,68.680595,88.635132,122.877380,4586.313965
54.154865,34.934002,26.627378,44.078674,67.422226,3581.256836
66.817146,40.987076,51.333660,32.395020,62.182194,3803.538574
68.856400,38.131561,75.126732,67.739212,102.585052,4494.403320
30.781666,21.717199,11.985656,13.612958,31.082724,2331.364258
19.216963,12.754769,12.977198,13.853302,56.671726,3334.355713
16.009180,11.305692,5.235185,4.185370,8.184940,598.174377
88.441864,44.035213,35.883125,33.047340,65.495583,4628.343262
53.835842,30.803038,73.612274,69.749596,94.562363,4309.969727
39.649269,26.880657,14.933335,15.361138,27.117510,1876.501953
64.001671,41.628014,39.391026,44.696106,140.266037,4691.087402
56.219509,33.626667,17.973158,15.187759,31.085205,2045.744385
23.819298,17.042231,8.368870,9.621243,24.665577,1896.534912
5.907779,4.313091,3.015198,3.508946,2.170695,7.876684
49.893394,32.584034,33.546341,32.765965,22.301952,1242.217896
65.746429,41.271114,35.823112,44.439068,64.317261,3574.695068
118.840340,51.225430,57.010677,53.995693,113.075050,5740.407227
57.942711,36.162571,19.838905,16.902304,33.029335,2699.459717
41.273933,24.672138,30.828918,31.408005,58.662651,3784.880859
17.295979,12.111930,34.967392,16.571640,36.511631,2682.665039
41.943424,27.093897,22.123072,29.407963,32.090706,1972.666504
33.485966,22.241997,26.539547,24.168373,50.298122,3580.866943
75.189270,44.146328,46.852718,49.438660,76.271751,4377.325195
13.038484,9.247354,3.438115,2.672801,1.581496,1.887347
62.150436,34.288162,46.574680,48.225094,125.472305,4705.856445
41.344948,28.188988,42.541733,30.113211,75.672043,3809.531494
39.192234,26.322691,14.351604,18.559793,31.242170,2224.800049
98.898941,47.560246,38.052578,41.905548,115.644302,4743.622070
48.484474,32.198315,16.670656,19.380539,63.289410,3670.772949
60.446701,36.084000,29.701164,37.715958,79.300804,4208.018066
103.019493,44.869019,76.758308,75.537125,164.453644,5775.294922
107.665588,51.694786,104.413857,102.140686,231.940994,6384.247559
17.434587,12.695501,5.393789,2.583097,9.188973,785.245972
67.539093,39.184910,59.371712,69.120270,112.108353,4590.845215
113.938095,48.940941,80.453697,83.540520,163.897110,6010.162109
63.236027,39.808704,32.335144,16.362381,47.745350,3583.828613
74.219902,41.606167,33.560673,20.647900,40.104725,3072.791260
81.222160,43.662987,31.206034,26.827991,72.092827,4222.837891
59.287739,37.563805,34.457558,29.005613,78.088219,3889.693359
74.874702,41.500515,68.359673,89.841774,86.423767,4212.902344
90.431732,47.708340,44.709152,46.406872,125.308022,5299.258301
61.015778,35.963448,34.955940,36.549160,44.843670,3077.741455
25.152586,18.413935,8.741369,18.636591,27.426397,2034.232178
75.360207,31.875141,50.014919,86.762077,108.054649,5383.031738
95.469719,42.373463,109.794456,102.300034,214.055374,6029.991211
61.523880,35.660828,47.748314,48.861164,123.147301,4793.518555
32.391113,21.101429,9.199878,15.020880,10.720389,668.687012
49.049625,31.569738,13.694968,66.786659,20.658979,323.847931
37.900978,21.276138,49.411945,52.385883,91.841064,4358.716797
108.599037,61.678585,79.706642,76.493256,194.784348,5392.854980
56.202965,27.440605,125.289948,99.837952,220.230637,5706.064941
102.199104,64.048729,97.295441,113.321732,172.432892,4989.488770
64.491211,41.677277,19.698668,21.538256,34.181889,2792.812744
115.161942,54.803852,84.042473,120.287224,167.239044,4865.297363
67.817062,41.296444,29.131960,27.069519,47.393112,3711.082031
53.934769,33.957462,36.782711,39.001228,111.365486,4318.523926
14.975702,10.298071,2.771074,26.449982,6.885201,52.460758
41.701710,28.839058,14.980403,14.372928,23.501213,1846.328125
80.089767,44.671425,74.916718,62.061726,89.515640,4564.966797
68.621620,43.533092,27.803841,27.995502,35.096073,2831.566162
58.067841,35.981426,22.811331,43.517464,90.886032,4156.341797
29.962484,21.532747,15.633261,10.336933,24.199917,1933.577515
48.680229,32.183296,13.817383,16.015890,22.399961,1663.611084
15.505379,10.688584,14.185354,10.237130,38.017151,2736.112305
55.230106,31.247503,27.969021,32.932495,87.735191,4517.762207
37.178761,25.108877,26.090317,27.118073,78.453697,3949.551758
61.658768,37.869846,33.083668,27.810453,56.249741,3741.254150
44.147102,28.819906,27.871401,32.754230,94.450157,3953.495850
81.059669,44.229031,27.398457,23.014145,55.172977,4168.781250
64.717300,40.634441,17.374578,36.212391,32.835102,1905.384399
