"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
5.277746,3.900769,2.266990,1.999708,0.461105,-0.049874
26.288925,18.573465,7.076540,5.448728,33.467190,2643.318115
7.553697,5.588326,2.778342,2.293167,0.706360,1.835553
9.903839,7.048232,3.518649,2.579087,1.366437,9.267162
9.886443,6.900058,3.869115,3.071772,0.858901,10.551948
17.377281,12.718269,5.825751,6.754339,1.301173,6.174522
15.722260,11.184464,4.189977,5.443613,1.595664,4.220723
38.838032,26.968609,14.739888,11.762410,7.555417,450.246185
3.673917,2.900958,2.122840,2.933315,0.291391,1.401889
17.740175,12.458606,5.238701,5.490330,1.608890,7.008071
5.066667,3.691216,2.761792,2.897277,0.165583,2.829420
22.808216,16.633591,13.621840,16.528419,2.665567,10.435749
15.455266,10.579804,18.307405,21.201815,7.120254,51.901546
11.753361,8.334403,5.756264,8.048676,1.457674,2.763779
13.629085,9.730781,4.597099,4.342910,1.332981,5.759506
11.673474,8.821779,3.729519,4.617926,0.459273,5.150517
7.089962,5.089670,2.548312,0.505047,0.899807,1.055712
4.664862,3.641089,2.144735,1.237146,0.566259,1.955143
18.455587,13.743239,5.349013,7.533340,2.455976,27.312149
27.083094,19.506048,9.424493,5.374362,1.797415,17.634731
5.546441,3.831368,2.084326,2.368126,0.705546,3.159810
44.715298,28.385710,18.489420,11.313592,39.702938,3062.294922
24.827068,17.523657,7.347548,24.578629,9.515500,162.230179
11.161810,8.278745,3.345346,4.173378,0.760305,5.038989
12.925756,9.449125,2.774863,4.435969,1.408996,8.412716
19.104517,13.511210,5.187567,7.603385,1.925716,6.123320
28.340887,19.905527,15.783891,15.739265,44.099674,3022.131836
4.596085,3.439141,1.715286,2.584889,0.759220,3.099602
9.613109,7.107498,2.260099,2.473824,0.484540,1.983415
7.628854,5.670507,2.903157,2.619146,0.921491,2.558290
7.132833,5.520471,3.685593,2.050203,0.807331,4.345990
17.126408,12.957597,5.709081,6.966346,16.464323,1279.277832
12.059322,8.623527,3.653619,4.803244,0.704759,2.999630
15.009172,10.969754,4.411294,2.551746,15.519870,1335.408203
17.831692,12.829902,8.323769,12.751413,36.160168,2550.895508
8.184001,6.192808,8.157310,9.259930,1.608098,12.810327
33.348801,23.088980,16.886351,11.597502,48.946938,3414.132568
8.983047,6.855615,2.930693,3.280055,5.733877,470.576233
15.659409,11.394374,6.007796,9.415255,2.261473,0.670500
14.475196,10.697742,7.095917,11.691404,2.095018,15.375117
15.978098,11.360976,6.099041,5.693275,1.892987,9.991339
7.340284,5.506201,3.279539,3.010882,0.524094,2.987223
5.158469,3.689805,1.984627,2.831819,0.430922,0.593253
43.402267,28.333044,12.208488,9.444660,31.828501,2606.060547
6.480256,4.748893,2.285724,2.840623,0.704994,3.777960
13.912743,10.309426,5.637455,9.483260,1.988138,11.777679
14.637323,10.948769,5.182455,6.169786,0.879818,9.837262
37.321621,25.952265,12.090948,20.398954,3.506991,7.181575
14.062988,10.401323,4.685704,4.953166,0.944999,3.903646
3.921054,2.994654,2.096464,2.386195,0.549939,3.964106
6.933095,5.186268,1.147151,7.018525,3.054648,9.691518
19.112675,13.441132,6.052863,12.792284,4.423598,12.051228
10.423200,7.839212,4.348609,4.455024,2.219927,10.241929
6.414299,5.014560,2.464725,2.173797,0.611024,1.868671
7.955189,5.901306,2.124803,3.518916,0.832980,0.828883
24.974062,17.297911,7.611926,12.879871,4.375252,9.233363
17.726250,12.987473,11.822989,8.935884,18.631653,1449.378052
41.218548,28.826611,38.307072,42.532417,13.066916,218.774231
4.658616,3.486380,4.026793,10.414263,3.415119,12.884276
16.295778,11.690159,7.434468,5.939200,1.727022,4.442865
32.281391,23.003183,10.767580,18.373699,4.416257,8.209290
40.801979,27.299250,10.735333,8.350580,3.200334,25.242500
31.090334,21.196835,10.876548,4.723261,2.095282,12.419092
45.571293,30.788130,15.242449,10.111968,2.028395,8.615160
10.113683,7.358799,2.058637,7.872646,3.425624,10.601822
17.449219,12.689457,5.014514,2.807027,0.967150,5.126456
19.722731,14.335099,5.328322,3.191785,1.317207,4.314152
19.521305,14.002689,14.963607,40.557465,10.519855,22.561373
9.522722,7.118849,1.807600,7.595264,3.358703,6.521459
41.872280,28.298912,15.421499,9.299338,2.093784,28.904055
25.656933,18.160769,6.439211,6.644005,2.799554,104.616272
21.277250,14.688821,7.101720,12.311195,2.884183,3.967119
9.602654,7.122714,1.870020,9.812287,3.799554,10.108672
48.267830,31.758230,18.902317,33.602146,9.466981,22.205626
10.861268,8.063633,3.427678,4.170195,0.833284,2.322579
21.683830,15.073477,7.100522,8.921268,1.811233,3.288127
4.118741,3.049606,2.326674,4.216968,1.124053,0.401500
11.265972,7.992368,3.484358,5.103256,1.063959,26.658289
11.074274,7.708804,4.059822,4.873400,1.099378,4.027388
13.683576,10.038531,4.099169,2.580446,0.844688,3.293651
33.930187,23.253483,7.877870,7.936189,2.207961,26.116789
32.476757,23.714169,10.987745,7.272121,2.834218,91.587868
20.393951,15.152829,5.577615,5.749727,1.018193,1.939107
26.959093,19.438787,8.150584,5.089388,1.042307,5.187152
30.885536,22.188761,11.742607,8.440435,10.458449,664.054993
7.946478,5.668162,2.977897,1.968131,0.796538,2.348747
33.762680,22.756912,11.430084,14.604027,8.760382,632.032288
7.784092,5.698905,2.075081,2.972183,1.029740,0.836495
28.718227,19.733717,10.949730,21.989573,4.178466,4.669760
32.647717,23.238775,9.335102,7.338354,2.263819,65.883331
11.371759,8.178476,3.110223,1.887413,0.483068,1.002226
65.273819,38.519913,19.065351,32.708183,12.569949,160.141815
6.804065,4.941613,3.390569,2.285951,1.049192,2.264493
10.965527,7.850358,1.818130,8.781288,3.221412,6.648492
16.340065,11.788474,4.125032,13.499214,4.762318,10.556068
12.683129,9.219937,4.295648,4.208947,0.885497,2.729728
18.011122,12.925613,7.784579,8.650819,3.039479,11.261135
