"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.462212,14.520885,10.981615,14.803558,52.234127,3400.548340
27.725874,19.641581,7.891526,39.163387,9.864781,31.518705
14.109324,10.501657,5.223299,4.966891,0.216654,0.827545
54.570755,33.873180,43.967659,45.855526,78.861542,4278.525391
14.233031,9.646640,3.032683,20.601107,5.920389,19.913555
26.120502,17.753670,6.018774,27.661575,7.649481,35.285233
10.482048,6.667862,756.907654,47.844303,0.916509,0.549714
38.423393,25.900494,13.281493,11.054659,26.907745,2310.057129
5.118013,3.755450,2.351608,0.566997,0.362881,1.948787
6.033697,4.539294,3.322770,10.616159,4.064570,26.867979
38.677666,27.082939,8.995715,14.539415,8.247521,514.751099
23.011963,15.550217,7.595238,32.713745,9.718050,80.685349
26.675613,18.316010,8.241619,32.654507,8.349880,65.059273
15.935523,11.050467,4.919832,6.111298,0.928648,8.536592
7.831250,6.068672,2.781255,9.600996,2.416054,28.418245
9.228518,6.868654,1.952994,4.128220,2.296565,0.875418
11.036207,7.836252,4.986119,6.524501,2.036497,9.187693
14.151578,9.836158,2.680909,9.626492,2.525084,6.880800
15.556670,10.950881,7.000431,4.884637,0.886771,4.195874
16.952969,12.242864,2.532862,11.622583,4.142286,27.993626
66.763283,39.445381,24.174721,34.799541,40.571918,3133.383057
8.963173,6.809782,2.968953,2.820586,0.383464,1.188243
13.088418,9.589088,7.969510,6.144947,1.233389,4.802159
18.371571,13.054746,4.489185,25.584618,6.919164,24.348425
20.732458,14.484526,5.741696,12.060372,3.542971,15.558137
45.648735,27.152569,36.235653,118.352043,31.990814,98.084412
10.328994,7.317028,3.580557,11.850213,3.657808,17.555992
28.080532,19.308281,7.927763,68.223389,18.996305,66.750679
6.217337,4.269363,2.710485,1.194154,0.137814,5.497146
51.484360,29.825171,49.471710,34.818222,71.524963,3950.712158
36.690350,23.907310,2.699032,2.264673,1.107589,2.716019
59.273308,36.013630,30.330219,29.185421,53.814247,3547.146240
27.715622,18.755362,8.672214,12.145262,20.979309,1584.314331
12.249660,8.803006,7.113614,6.355011,1.968950,7.285843
6.650664,4.559638,1.739545,3.307592,0.218596,10.385759
56.493336,33.033016,48.956627,38.613705,77.959366,4305.159668
60.729450,37.645866,28.174612,30.145569,37.072460,2757.708252
5.733830,3.971703,2.616137,5.564159,0.915454,14.992217
32.402355,21.678799,9.103311,21.461311,5.178263,33.191280
106.861656,51.560780,68.605873,92.239136,133.600784,5184.116211
26.644398,18.502090,7.714714,38.074646,9.688966,37.164669
21.498869,14.646215,16.447987,34.645184,9.839234,177.018784
32.431885,23.617785,14.187961,16.207588,17.374041,1344.933105
13.583808,9.473181,3.307989,21.362034,5.559517,18.413963
27.383917,16.589714,1.728102,8.445436,1.527129,1.186450
50.901646,28.681007,53.700150,58.546810,156.402863,5332.488770
14.001062,9.911171,4.017169,11.188381,2.434725,13.704868
49.617889,29.766962,25.774124,28.877663,60.337929,3553.469238
26.673817,17.908648,21.185585,73.562073,19.639620,122.594833
80.794189,42.911644,28.240337,40.990765,78.885048,4732.663086
9.435244,6.834218,2.619844,2.682660,0.245093,0.394250
41.985886,27.219816,17.820108,39.193523,40.686874,2576.209717
74.020660,40.309914,26.724964,21.777037,41.110458,3544.333252
29.048016,20.822664,15.089849,15.803356,20.921318,1549.729736
95.880676,56.072205,44.539791,48.997246,102.995697,4716.248535
67.764374,33.579041,53.758690,58.082970,109.526245,4696.371582
29.025236,17.488817,3.208450,14.218990,2.835948,5.070142
18.180912,12.911695,24.373682,58.067184,29.963566,953.823120
42.566162,28.709158,14.871818,13.413266,1.710083,2.432446
29.657248,21.303196,10.966072,10.936348,20.042747,1414.785889
28.345869,20.302378,12.844363,55.459110,14.131741,85.647202
41.023598,23.179377,13.369739,20.782681,6.503169,20.842293
14.490368,10.149471,4.478198,4.283597,0.883528,0.666145
74.614082,38.829514,53.625401,44.838211,122.213722,4829.575684
12.740939,9.296666,6.276544,16.058245,4.329972,27.158894
52.640148,31.564579,31.944778,25.233425,61.261772,3786.494141
34.471107,23.520891,9.989467,18.690805,40.146973,3158.107422
40.446415,25.599367,31.391996,29.365711,37.174881,2723.616211
34.479862,23.964552,14.053828,35.644344,21.381319,778.094604
58.886890,35.806236,50.494469,61.297550,51.250271,2911.754150
66.770798,37.905640,69.350372,229.996475,58.615330,345.419434
13.456249,9.561868,5.410982,3.153333,1.289958,26.243387
73.228706,43.041904,38.251255,35.580841,64.566010,3756.607178
13.663119,9.678764,6.127063,19.175474,5.745929,38.580399
26.092201,18.119175,7.087964,33.313072,9.233353,60.518974
37.021999,25.647818,10.853745,7.241254,22.732767,1750.248657
24.918741,17.163986,6.573177,7.341078,1.878272,5.302136
150.624908,72.796448,103.009087,96.721199,176.900635,6013.494629
53.085342,28.262392,30.568296,43.567333,72.264046,3955.537842
23.066631,16.035234,13.600183,27.355289,6.903461,46.041069
43.159542,28.105778,23.083782,30.119520,55.371460,3344.565918
62.763474,36.607845,58.828819,44.904430,140.684708,4676.416992
68.495964,37.598511,103.311523,113.681671,109.564949,4870.840332
78.099426,36.971138,67.701714,80.189575,131.629425,5408.919434
