"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.306067,9.393932,4.590413,2.457244,2.119672,84.733627
59.846310,38.837135,17.128027,14.227694,36.101589,3142.671875
10.910150,7.831368,2.381573,2.593425,0.802871,33.723644
14.228980,9.611708,26.445475,43.096016,14.584928,102.768867
50.742950,33.145176,17.487951,29.444414,12.679764,242.386703
29.584192,19.935677,8.621008,5.185135,1.444153,8.640925
22.131334,16.082537,7.492812,6.440897,4.119259,235.555054
55.806171,34.338604,47.525177,64.479095,24.244745,493.962280
18.468761,12.315631,14.862350,28.473099,7.647707,43.784702
33.339283,23.933214,9.856952,8.789591,8.740012,653.666870
28.697670,19.789238,7.240638,11.268750,4.612258,18.485720
28.212856,19.563278,6.687315,14.830534,3.605660,15.765325
20.316584,15.126924,9.017285,15.261001,18.079662,1487.862915
5.683865,4.122977,4.537360,11.201383,5.289535,11.764363
16.256340,11.973823,3.517601,20.013508,6.505279,42.530361
39.286469,26.720337,7.829468,21.010572,19.740112,1192.552124
20.001047,14.824777,5.365016,4.058097,1.085681,5.330811
8.489574,6.113013,10.280291,12.171534,8.380111,378.553467
22.841496,16.352491,6.371320,4.716636,4.722208,336.095123
32.491306,22.328924,7.487115,10.532361,2.219206,14.825175
21.660276,16.007881,5.837548,6.078454,2.188962,8.614492
11.072127,7.908415,2.082478,11.299294,4.326135,17.970509
59.631950,34.659279,46.377483,97.748596,58.343136,2781.074951
36.712318,25.063412,6.984184,10.578878,6.679673,439.265381
4.690114,3.315093,2.810608,0.897217,0.576138,1.106443
18.825705,13.450175,5.545017,4.422082,1.525372,11.109743
30.814440,21.797617,8.978048,10.892248,2.056433,24.572731
7.151850,5.529594,2.902020,1.105047,0.158705,1.426738
12.976711,9.472610,7.235799,13.976557,6.200162,28.827890
19.256695,13.437230,6.356122,3.834476,0.914342,2.615482
28.079390,19.772179,6.988429,11.025766,2.916285,12.724612
40.989754,28.399492,9.519495,8.281762,4.375371,169.832382
8.988830,6.472037,2.777867,3.180422,0.933527,10.724120
21.250244,15.089627,6.155649,12.592509,3.395174,51.330803
8.016122,5.414130,7.322910,13.784444,4.558036,13.245358
28.547913,20.734432,10.695203,13.234771,3.652711,7.949009
60.125362,36.715080,35.437988,29.066071,11.364675,433.780975
16.335789,12.119897,2.730521,15.090195,5.161957,32.049721
20.824556,14.461390,3.634329,15.066535,5.085326,16.005093
16.312487,12.009998,5.251476,2.873120,0.633049,0.891253
18.866291,12.764785,3.425316,21.388893,7.165370,32.106754
19.175446,13.547583,4.587804,9.680894,3.126328,11.133502
21.300900,14.981309,6.030958,3.743316,2.043020,92.003876
4.440244,3.369665,1.048906,5.734333,2.013616,12.909237
18.923082,13.797356,6.668058,7.387384,6.924620,507.560486
14.320235,9.302346,30.930599,46.911823,91.650826,4055.106201
22.772879,16.380899,3.666868,25.929609,10.781177,165.921265
