"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.191053,13.807911,6.103905,2.081349,0.667441,22.067314
23.394606,16.263140,6.252344,3.980848,1.602557,12.880616
19.106930,12.710322,5.348934,5.304879,2.158585,94.764839
21.062929,14.056506,10.646744,29.005960,10.075055,72.269531
33.337479,22.525900,12.561902,10.861726,15.397550,997.065002
18.407637,12.499685,6.712700,5.124464,5.837673,393.304443
34.626637,21.221386,34.906296,23.100071,7.259578,304.100677
22.506067,15.874216,8.967593,6.942770,2.617376,86.446709
19.670408,13.050605,7.115354,5.590729,1.823627,37.395126
27.342487,18.291782,6.446008,11.020389,3.669118,55.172634
21.643425,14.717008,6.167255,4.224419,3.124237,198.744522
23.334873,16.371525,10.011699,8.916280,2.610034,25.832163
14.090762,9.687292,6.745621,8.172479,2.824399,17.208773
21.847498,15.170478,10.230986,22.821270,8.262357,97.847267
24.048037,17.192165,9.472770,7.773394,5.817046,398.962341
34.267582,22.746862,9.778639,6.939578,1.883021,53.771259
17.043772,11.782537,2.854825,14.278850,3.812880,31.855059
35.549652,24.428011,15.641561,12.892289,5.640687,199.159378
9.095487,6.549170,5.705476,2.362489,1.341191,80.323265
12.968572,8.820415,3.014883,28.499178,10.115870,51.569702
30.982016,21.361475,8.841614,8.341253,4.152172,176.210342
15.113955,10.622953,5.040665,4.010453,0.716878,6.207373
14.216602,10.073341,2.771447,12.715670,5.485677,27.871040
38.968971,24.168850,23.515537,49.206745,18.342529,695.666931
49.232822,32.442188,12.041484,8.777057,4.261343,238.947311
20.215992,13.761827,6.123661,5.734317,8.831052,949.197754
40.510059,26.749556,8.702637,10.886247,3.620237,26.987839
23.477753,16.628366,7.157413,6.842699,1.172909,16.995768
18.510191,12.519308,3.860207,19.261005,7.089304,23.089565
27.313860,19.055971,8.509865,4.720071,4.536456,270.975098
22.050493,15.215960,6.396411,4.878616,2.296979,72.354156
20.009518,13.056750,27.060614,28.913059,33.594051,2349.097168
17.387615,12.087033,6.389227,7.338207,1.847230,22.549141
11.808815,8.127991,2.885929,4.870265,1.629547,105.489532
20.267477,14.208183,6.835722,6.685198,1.893964,36.603710
40.130188,26.565891,11.030788,9.442850,3.821328,97.913483
10.862970,7.390391,3.782643,1.373301,1.735686,109.404228
35.217033,22.868086,20.996811,14.520546,11.546695,619.242188
18.365423,13.060049,5.569248,4.954850,1.594105,60.800129
16.116838,11.174117,7.671750,7.019686,2.083598,37.536949
11.017362,7.759414,4.002959,3.102131,0.651195,39.991493
47.516376,30.555628,11.752551,9.051814,2.758727,42.921455
20.213831,14.178789,6.524970,5.428189,2.733677,84.860962
33.141853,22.626194,13.015265,15.402862,5.544504,36.434093
11.525588,7.727518,3.953848,6.658363,5.965094,479.592590
13.862078,9.966079,5.072744,0.744544,1.039880,7.791174
9.439845,6.905580,1.606206,9.062941,3.232483,11.110600
35.288048,23.432320,8.047894,15.882512,5.108514,30.131538
12.762596,8.832680,4.870261,6.300324,2.428108,90.355080
12.325786,8.581967,3.000595,3.896800,8.166221,628.537964
21.614775,15.246595,4.723866,3.763053,1.195926,14.810357
12.889548,8.877127,3.901840,3.718061,0.662275,34.834171
15.364828,10.604406,9.074296,6.429469,10.853276,837.087524
14.542658,9.864514,5.717817,4.005637,0.958099,40.774681
25.955002,17.368294,7.533795,4.940277,1.891770,18.772348
21.430216,14.638587,7.088432,3.617444,2.357789,101.909340
41.743103,28.142532,18.302420,15.805403,4.953173,56.499062
127.870277,41.712589,579.480713,7096.455078,2496.192383,6683.015137
25.641588,17.551725,7.897777,7.156922,3.075964,104.089409
16.006775,10.958350,8.141303,4.262144,1.736363,61.587566
34.790253,23.522177,20.219870,12.890512,3.438084,64.934242
24.226126,16.609753,7.036262,8.233282,23.000088,1792.856079
43.366222,28.315845,10.387056,6.783318,3.997967,199.164032
28.947405,19.652868,8.021864,7.872908,2.339332,23.744238
14.656211,10.361476,6.154068,4.642357,7.751984,514.273743
33.787273,22.924170,11.064567,18.766148,8.787932,194.808701
29.697838,19.563128,18.255619,14.988919,3.746935,90.340729
17.721722,11.802620,2.863634,11.615642,3.199694,7.060050
20.544172,14.306450,5.491732,4.579777,2.120002,100.713715
29.872929,20.049213,6.341759,21.913523,16.009396,883.562256
20.786640,14.126773,6.168110,2.806615,7.793768,774.925720
34.507984,22.139622,6.643196,11.653285,4.745024,42.836422
35.213524,23.247932,12.945160,11.477069,3.389162,72.942108
19.813946,13.834126,3.763607,3.558228,1.231108,22.982294
36.669579,22.674814,41.334694,43.163212,15.143325,381.022583
33.637581,19.855568,29.526829,43.059380,21.219017,867.400818
20.987215,14.638198,5.400699,5.449472,1.250422,40.610104
25.568913,17.663328,7.208341,14.527934,5.350328,120.843735
14.172500,9.922819,8.356019,4.103344,2.972447,141.186188
38.640419,25.506504,10.496531,6.337687,20.242756,1740.829346
13.788658,9.287730,4.563647,2.662034,6.224988,531.616089
6.489766,4.692136,6.635623,2.447154,0.778295,40.174923
37.623268,23.612803,48.675220,76.604744,56.179440,3248.492188
23.183935,16.421461,7.228858,8.983893,29.480656,2666.639404
19.815313,13.570460,5.433667,5.355648,20.845064,1724.192139
17.552629,12.060825,8.992537,5.713825,31.512636,2371.937500
22.047007,14.632435,48.728195,70.110252,31.802099,926.210144
37.463840,23.113422,39.785263,40.263054,111.385185,4622.587891
14.562921,10.513805,10.628316,13.483538,12.113249,829.016846
39.158230,25.863605,13.920844,9.517768,6.753617,355.092346
32.370331,21.566118,7.556595,8.909612,2.417363,92.274185
23.900173,14.933255,46.180019,49.156841,18.871422,429.310211
29.688469,20.411297,9.831535,5.933010,6.273582,501.081696
17.485647,12.195036,4.700080,4.779363,0.948765,16.463514
18.354086,12.908145,7.888935,5.830828,3.720718,236.536987
34.918777,23.643356,8.503570,8.080856,3.184312,216.027451
10.391939,7.313751,5.585399,6.900192,3.419257,135.073547
35.088402,22.751331,16.493298,20.586250,10.634411,531.118774
25.255581,17.151516,6.960343,5.366573,1.427511,15.142442
18.343365,12.288098,16.924086,19.757227,8.230963,257.114594
9.845228,6.869931,1.813448,9.361864,2.832482,10.526441
33.536922,23.159641,13.848350,7.344512,5.643301,478.458069
24.966484,16.513721,29.505962,29.239754,20.887041,971.901794
12.489391,8.192878,10.689914,8.596793,3.313736,132.012299
48.750072,31.164104,14.607247,7.514929,1.969748,50.176441
33.928967,17.991982,32.554993,32.732693,53.635334,3659.766113
49.506695,30.859028,24.737507,65.698860,27.318411,397.424622
20.363384,13.500646,8.718847,11.224989,4.184384,25.320688
22.878408,15.615550,5.109155,2.911422,10.931920,834.846375
30.509659,20.739166,12.537601,12.755498,9.744589,565.998901
19.911665,14.772276,5.285887,7.220599,1.962753,72.662323
9.816473,6.736048,12.976760,10.093853,1.880640,29.716940
29.089417,19.794418,12.324183,5.644530,2.689571,79.058945
8.686537,5.647359,3.382644,6.244788,2.747518,24.319611
35.027885,22.992332,8.621839,6.780761,18.527939,1384.131714
21.354765,14.653240,4.733323,2.721357,1.788336,34.871140
10.546814,7.511375,2.605343,2.759369,1.237626,19.592716
30.935579,20.880133,10.833012,4.590385,2.175046,37.199345
20.598495,13.870290,7.847292,13.303780,4.227953,84.426857
40.410175,27.034113,8.419933,9.191598,2.847704,69.459976
13.718041,9.694708,2.633080,6.536348,1.280429,13.859015
16.063505,11.112864,5.638580,4.550338,11.127672,998.415955
42.669144,28.577431,9.578760,8.785363,7.658801,398.421417
29.529654,19.312120,23.780386,24.067142,25.836439,2029.175293
32.329659,21.637770,8.575290,15.371011,13.714368,686.902100
20.899776,14.406150,4.481552,21.729971,7.112781,84.794800
29.718010,20.089956,11.258971,8.472235,8.257655,900.238831
25.536486,17.931761,7.457947,2.859088,2.780833,148.257507
11.094168,7.787660,3.647182,7.415576,3.397648,97.061134
20.980537,13.756589,7.104463,24.797375,6.980702,38.993397
27.054405,18.538813,16.802025,6.345823,2.360935,38.485306
10.503549,6.140468,4.356997,6.168305,9.524205,590.300598
18.181921,11.872448,7.936126,48.905216,20.979021,172.821655
41.738117,26.086319,23.521420,15.240375,4.078778,130.065750
25.386669,16.244963,19.219057,20.476410,20.337231,1167.694580
22.122406,15.185073,4.913459,7.000083,11.961090,897.913635
9.554828,6.869335,6.069253,18.594055,8.600436,239.571686
31.040449,20.832329,33.067230,20.108116,14.859588,762.242371
36.016750,23.610634,8.837047,7.160227,3.073798,170.773911
12.025581,8.207390,3.818496,3.108711,0.965263,22.766363
31.618795,19.939939,45.631561,89.006058,34.320557,770.023804
35.250549,23.739689,10.123422,8.036042,2.438893,61.593769
12.245667,8.716321,6.493037,6.629448,0.621387,48.123894
35.546398,22.746960,26.440813,21.142204,10.082391,415.150848
7.285537,5.149578,4.846719,5.858038,0.843390,24.382984
29.063087,18.880014,12.157505,10.462029,2.601215,36.631226
10.673480,7.178165,4.701534,4.142241,10.594199,762.679199
15.481506,10.651701,2.569332,5.198344,1.429687,102.806351
19.792524,13.944999,4.535617,4.683765,5.721286,425.013550
50.330612,30.694956,14.057821,9.436636,8.793577,496.862518
18.912689,12.987075,8.296577,7.024124,2.387704,62.106316
10.947144,7.829267,8.532740,10.305546,13.292675,916.387390
33.279339,21.436075,34.197899,38.484295,12.697854,116.502274
22.513302,15.773123,7.665798,3.479401,1.446043,36.757904
35.686665,24.077879,15.571993,10.360422,3.270152,159.485184
37.680477,25.167528,20.133619,19.302721,8.323344,156.079224
20.841269,14.073765,6.998443,5.006899,1.906742,107.603218
22.640043,15.600963,6.493441,3.704194,3.135982,199.789841
5.045077,3.729811,1.385996,3.125068,2.512064,107.285530
50.007912,32.526581,14.995906,8.668651,4.645339,175.170349
12.807540,8.611345,3.020145,2.552043,0.327689,12.514861
10.992258,8.047670,3.110312,6.180274,2.816432,138.244034
40.059948,26.448063,15.340299,13.026185,4.792529,91.600487
25.708361,16.809052,7.236788,4.742335,1.649026,12.765015
52.185646,33.207817,15.007604,8.794614,3.430427,51.007179
20.082621,13.815106,4.541909,4.394321,1.500317,21.620470
18.776825,12.243354,23.585081,25.552450,12.224223,421.007507
45.316387,29.419312,14.080580,7.266818,4.664186,173.420380
25.485275,18.046837,9.323092,9.145998,17.551386,1184.077515
9.489204,6.561343,31.837173,33.687500,13.974217,436.758057
42.643757,24.681551,40.463375,962.991272,223.155594,696.332764
18.021292,12.870786,6.234112,3.501659,1.342171,21.271322
56.071186,35.666183,21.813738,15.853415,14.329937,1074.154419
54.251434,36.003777,14.618709,10.101016,12.510303,831.598328
10.660109,7.835639,6.590833,6.390586,3.094072,85.005287
26.406771,17.232355,24.084602,15.235564,8.023719,358.239319
31.406124,21.059191,10.314415,4.095442,2.860433,184.355865
17.307640,11.930171,3.330474,0.244816,2.119286,76.441338
33.413120,15.042920,11.663168,13.611785,4.901652,57.113083
34.095783,17.605820,13.317761,13.814971,4.458355,66.213516
29.237053,19.731747,4.864777,5.480582,0.366175,17.034384
50.405441,33.108250,17.038881,15.812451,8.706763,379.239014
37.221069,24.629837,12.226600,28.672344,9.668389,263.259247
32.143906,21.309332,7.496336,4.502721,2.435722,48.737999
33.892757,22.829731,8.532955,7.215761,5.382211,409.496979
55.112392,31.214033,31.761885,59.996185,21.851622,334.330688
9.784615,6.809006,14.775095,17.700689,7.423703,327.159790
38.357376,26.054762,16.890844,25.039259,9.526818,100.916565
29.708002,18.795336,35.881432,55.129745,28.180313,913.415039
15.723373,10.203442,37.784039,43.792473,38.822670,2071.397217
38.059479,24.320898,20.606321,22.099495,23.632607,1289.563599
21.049164,14.023402,8.813910,6.243750,5.164134,407.550598
19.279562,13.476896,8.240253,6.614791,2.676648,71.048119
7.699595,5.303243,11.652426,35.319263,11.193772,27.107697
23.271200,16.008720,13.170993,20.149197,7.678910,83.216507
16.083893,11.371906,3.405831,4.272165,4.125917,226.720978
39.812592,26.549999,14.661318,15.031816,5.445494,41.302593
32.456303,21.447855,15.331262,8.280169,6.935568,398.018250
35.900120,23.773642,8.167169,3.737413,3.232554,146.270477
17.724039,11.780005,4.291614,17.777922,3.597132,18.200756
28.400957,19.586693,12.736825,7.948256,3.726155,75.616493
26.125507,17.800659,6.357905,3.261513,2.555961,55.017303
43.832336,28.130529,13.266425,6.855179,3.108523,76.986580
36.235519,22.981104,9.143440,7.883187,9.456298,831.166565
24.551897,16.340296,19.578909,29.868210,10.149885,360.786560
8.453057,6.335310,2.106712,16.634918,5.792959,18.995302
29.977057,20.547621,12.730244,10.689652,3.099718,95.538544
10.465445,7.364040,4.196914,4.387305,0.659468,20.196249
31.648792,21.480799,8.739346,5.656865,1.114390,104.954315
22.196209,14.909473,9.741406,6.939709,5.874657,302.352570
35.750248,22.080679,11.244777,17.234329,4.218276,28.494040
9.109682,6.005606,4.734603,4.390374,8.605765,786.431641
49.449814,30.770868,19.478588,10.541320,6.193454,343.778015
32.231621,21.217943,10.683783,10.386338,2.445535,113.672653
18.942089,13.039155,10.741318,31.388807,18.123596,876.294861
11.114942,7.464046,2.236580,15.977005,4.902212,21.830690
10.807587,7.627479,2.082914,10.281413,3.039839,7.397870
18.071875,11.670313,23.355122,284.141479,63.847527,213.147018
20.292864,14.436888,5.451637,5.233099,3.324860,84.284103
20.075260,13.606004,4.705523,4.634532,1.432819,58.706738
16.032776,10.678081,4.888573,0.737934,1.344935,40.419189
14.205495,9.520754,3.832425,6.324584,4.031237,398.069366
11.629110,7.943535,2.826609,3.413700,1.289410,10.621464
29.086254,18.979080,9.251084,7.238389,13.530400,1220.287598
36.046341,23.251081,28.954632,19.983831,7.262913,160.447556
9.540881,5.878679,3.086370,3.197753,2.518364,158.834091
13.066992,9.329415,3.775454,6.136054,0.705042,26.932718
15.912715,10.421088,5.679030,7.236776,0.750148,4.262358
21.504704,14.335375,16.052698,29.817924,8.235528,76.181580
22.572260,15.646493,13.447783,20.622898,24.355759,1538.563354
21.975660,15.161725,4.938495,4.538167,2.285104,80.183708
19.055672,13.267554,2.764497,3.531914,2.278761,119.015244
29.929903,20.538250,16.607315,12.257955,2.541937,33.768684
18.435530,12.532179,7.079595,25.481003,5.390721,16.890949
118.130600,37.319706,189.166397,2686.694092,772.059875,2813.440918
67.637032,31.311195,206.157654,2421.755371,642.093323,2714.069092
10.343053,7.496172,2.060739,0.829155,1.431218,42.570946
18.620110,13.432194,5.412252,4.489731,0.865140,19.900761
18.181370,11.726221,34.776737,40.271912,15.140151,522.894165
23.192165,16.080603,5.467137,4.555335,1.096740,26.323120
16.136398,11.004138,9.244435,3.112653,1.307381,98.074066
26.181723,16.768517,34.011871,367.754730,89.639175,267.994690
34.752277,22.933174,8.464622,7.604070,7.284026,427.996948
38.014309,25.374395,17.876986,19.142399,7.175718,49.255074
45.014233,20.702463,110.974213,89.057358,31.277508,123.276497
11.626275,8.412101,5.841757,13.762321,3.726984,21.901014
25.086693,17.469614,6.046111,6.197671,1.598965,33.213512
27.797800,19.324499,8.085874,8.810011,13.678555,1196.475830
32.418797,22.836973,5.526951,6.592264,9.845955,853.199951
51.203167,30.738245,44.307297,52.981529,86.264465,4138.773438
28.987619,20.107450,14.106813,19.888660,7.510527,53.658115
30.924107,21.161383,8.881315,5.258212,5.094927,367.719543
34.248470,16.822821,67.254234,1150.406738,277.331268,1018.928162
36.976868,25.519299,9.493198,9.229140,3.502222,213.771713
7.442049,5.084348,3.785374,41.822922,12.104778,36.834202
29.601715,19.982950,10.152530,7.223019,1.902347,125.212059
24.033131,16.166544,7.481267,8.104806,10.115036,616.989441
15.985457,10.740878,4.031845,2.770809,0.989566,11.766499
36.531567,24.534218,7.623210,19.826616,21.665836,1519.522339
17.141640,11.409712,22.924362,23.183933,9.362173,178.132568
44.784916,29.972486,49.276192,46.301613,54.777225,2986.653564
26.688978,18.726923,5.375858,2.985336,1.074018,19.738462
79.748055,45.713490,22.707529,21.065384,5.749979,57.469486
24.730776,16.793367,4.379799,17.240541,8.565271,59.420265
26.306299,18.449190,8.984320,3.861653,2.655980,41.680641
21.729296,14.515251,6.947869,5.648472,2.615661,177.790833
13.997731,9.868074,2.033551,10.425871,5.767025,32.277287
22.808834,15.907276,11.756882,6.329390,1.654401,80.853050
8.279095,5.893936,18.811836,661.971985,110.558617,272.772217
8.188536,5.883312,8.668449,14.571546,8.973922,227.336777
21.372446,14.205565,7.698724,4.099670,6.347534,409.286377
10.857947,7.251033,39.411404,21.157936,16.608152,797.474854
8.867982,6.099248,2.233515,3.909855,1.140621,57.522686
16.352371,10.868009,4.324932,14.551748,4.593943,45.549854
