"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.385931,12.968678,8.062731,17.476709,3.609253,0.984928
12.392303,8.694780,4.093348,10.118259,1.609706,2.114229
7.732880,5.721797,4.712674,11.649612,2.859187,2.199649
32.358341,21.319691,12.784293,28.809362,4.766926,10.580853
34.216801,21.976583,16.808405,35.958271,8.187789,11.797678
4.813824,3.664846,1.536828,3.104873,-0.092418,-0.505108
19.760302,13.149487,5.398817,10.228305,1.651191,8.525463
12.790583,9.251902,3.738104,6.238594,0.733615,2.614023
5.215141,3.803778,1.918034,2.849089,0.400977,1.357043
44.593014,29.308628,13.373384,24.685692,6.607355,4.393323
25.561073,17.646696,6.585471,17.789637,4.092925,4.745817
6.734909,5.080021,2.151379,4.909268,0.776317,0.260209
15.306091,10.389196,5.079906,11.764849,1.977243,0.233484
25.993916,15.689276,30.591322,84.077431,18.932230,53.291157
11.626658,8.204740,2.981483,5.582227,0.894964,0.731159
27.533228,15.239539,8.448926,15.550542,4.352998,4.264470
42.176064,23.882755,22.893457,46.931885,6.604562,9.153424
14.002580,9.962680,4.110233,11.537555,3.306540,2.833679
5.420903,3.955176,3.560777,6.205074,1.051657,-1.289658
13.519044,9.796977,4.644854,16.363758,2.455722,1.190738
17.456118,11.717922,5.445840,4.827521,2.161177,3.065269
8.143685,5.801176,5.519648,11.341747,1.488969,0.523922
12.572333,8.455910,3.350516,9.823900,2.847698,6.717165
5.518825,4.088284,2.197236,2.763300,0.337785,-0.770275
7.561330,5.769825,2.440384,4.877280,0.100627,-0.779928
27.454350,17.103502,7.918059,14.995840,3.226240,2.928197
26.137005,17.426435,25.038090,52.782932,12.041753,22.004990
25.965601,17.635447,6.964389,10.463665,1.891384,3.441272
9.005602,6.675192,3.231095,7.801167,1.841942,0.924107
33.801575,13.578067,19.626553,47.664085,10.130545,15.223410
30.182474,12.026873,18.824938,50.549969,10.132278,13.846789
22.443750,15.452380,7.136364,8.463359,2.545964,0.766717
25.154999,16.527342,17.620296,40.584610,6.150925,5.184233
8.613214,6.083313,2.750098,3.951619,1.079074,0.656665
6.977497,4.900322,6.678444,10.263270,2.129880,2.503005
16.020199,11.169772,4.439415,8.838760,1.737396,0.822981
12.210556,8.351695,4.290221,8.890469,1.424704,0.657295
21.137087,14.429975,7.949895,12.879850,3.228839,2.201742
13.707852,9.657339,5.955294,15.853493,2.459134,2.335649
8.170731,5.452071,2.524473,1.854537,0.453628,1.363035
7.911123,5.241714,2.108475,4.263843,1.845077,0.672023
5.776971,4.020595,2.351624,1.384517,0.599730,0.613703
27.666658,11.661089,8.641072,17.456373,4.174200,15.308384
20.470261,10.861668,6.509680,17.969351,3.557083,3.809659
33.440830,22.574318,14.934705,40.741199,8.921204,16.155424
18.576839,7.662003,6.116498,14.356231,4.403482,16.480778
11.620288,7.668519,3.350561,6.814582,1.116381,2.699806
14.752560,10.111397,3.915775,7.771978,1.895041,0.495380
6.832505,4.758584,2.403857,3.337066,0.294133,0.838944
7.839792,5.606503,12.330034,22.752274,3.490779,1.077793
22.694273,15.612806,6.554008,12.917340,3.730245,3.993928
5.615446,3.795949,1.728546,3.575082,0.719467,0.547592
26.978373,18.096472,10.740012,17.821392,5.141230,9.369753
11.454291,8.033460,3.165626,5.235264,1.258357,2.227299
49.242855,30.231453,17.699667,44.384857,11.049632,11.759184
19.038876,12.548133,7.288604,27.655939,6.532802,9.730203
12.628820,9.206374,3.153699,4.856717,1.021226,0.450939
10.937741,7.456609,2.921432,7.504445,1.207651,2.451033
4.369755,3.010099,1.524448,2.174073,0.688200,1.218950
8.650459,5.739845,2.565087,7.218253,0.878484,1.979247
10.866141,7.576742,2.876408,8.454560,0.875169,3.520799
17.413134,11.787975,4.219558,11.829226,1.131311,1.482356
15.760379,10.844531,5.840296,14.940321,1.535138,2.059098
13.838005,9.261633,4.311536,9.935393,1.356345,1.467970
5.130175,3.784938,1.771734,8.677964,1.342910,1.129649
30.530907,19.948706,10.710691,24.581856,4.527132,19.518925
12.508079,8.683612,3.271327,10.846078,1.952538,3.895080
12.284911,8.155769,4.911821,13.785361,3.249737,3.775086
5.370430,3.457452,1.473997,3.393044,0.461435,-1.009334
13.855604,9.383319,4.786852,6.675441,2.340518,0.239606
29.133091,18.506044,23.397188,53.207027,11.225286,17.028597
7.352526,4.912448,2.571844,6.634691,1.978363,1.336504
38.505634,25.094246,24.054699,48.769802,10.938501,16.247002
8.879559,3.442890,2.197977,4.276702,0.534081,3.340430
23.097210,14.724985,6.851516,10.842605,2.568243,10.297159
7.840432,4.428933,2.928994,5.455667,1.609324,1.821952
41.887302,25.792374,26.940622,53.998295,10.318922,16.217735
36.903641,23.385374,17.166893,21.777016,5.900801,7.274804
20.931875,11.341887,7.012008,11.195148,2.514912,5.412475
11.813818,7.699497,3.240302,4.543289,0.858257,0.692502
9.095343,6.312266,2.640568,2.858631,1.424438,3.805808
21.105885,13.374388,6.828646,17.649492,3.083846,2.514019
12.476677,8.704966,3.422083,7.098642,1.250136,0.310642
19.398542,7.586622,5.019818,6.399531,2.478901,1.336804
31.242981,20.421658,10.516602,23.381838,4.345184,2.907252
17.927952,12.564365,6.233025,14.464194,1.980139,1.859719
20.163248,12.664051,6.170226,9.794181,2.562711,0.833562
14.007989,9.746722,5.076892,21.714987,4.354010,10.320809
8.407636,6.271863,2.957444,5.412322,0.231619,0.355416
6.998474,4.913286,1.817596,5.718077,0.126499,1.074120
8.846564,6.047931,2.891876,4.613066,1.437951,1.088751
17.576889,9.546903,9.073165,19.842388,3.304485,4.113015
18.989998,11.637494,6.364273,14.744145,3.027938,2.063995
5.721975,4.153654,2.012058,2.695431,-0.566822,-0.854925
14.783163,7.552310,3.924817,5.541294,0.264179,2.450293
14.969507,9.406906,3.860297,8.002217,0.825143,3.720172
10.138149,6.840729,3.869640,9.384468,1.367496,1.376611
15.292836,10.574818,3.532171,4.075646,0.582925,0.909980
5.678059,3.678005,2.470774,8.883879,2.610669,1.327009
58.581482,25.517467,39.150311,73.467628,18.847219,40.035355
51.956383,23.578304,47.960209,95.750320,19.907856,44.366207
22.945686,16.003269,18.445152,15.272747,4.971295,11.803862
6.439863,4.413501,1.860800,2.677664,-0.438410,0.499911
27.069767,17.271858,9.689054,16.042471,2.570241,1.761180
7.932887,5.819254,2.582638,4.762567,0.993910,2.800051
7.652836,5.434000,4.852637,15.088972,2.741637,1.486160
19.062698,13.448750,4.269934,16.188496,2.711571,1.616922
5.146750,3.475621,1.584151,1.713251,1.124614,1.961348
5.166774,3.362742,1.727680,4.141049,1.109201,0.472891
6.778570,4.335968,2.293092,0.066032,0.465194,-1.427522
6.696749,4.228453,2.590715,-1.050788,0.711678,0.732712
16.211248,11.328943,3.618726,14.637039,2.845755,1.303261
12.628856,8.731794,3.809729,7.807101,2.517995,4.984634
13.383426,9.462057,6.992887,17.622414,3.369480,7.919818
13.520133,7.230004,4.593381,8.821798,1.030772,0.772521
8.661725,6.123578,2.878159,2.717782,1.466632,1.310182
10.714816,7.587669,3.520414,3.670866,1.080348,2.667469
15.118428,10.702519,5.578501,10.291709,1.145591,3.295236
21.817400,14.892629,6.010001,12.285048,2.247682,3.024831
5.315758,3.474542,1.263790,5.338290,-0.315727,0.597280
6.797814,4.567754,1.978947,3.394364,-0.006390,1.022995
27.730665,19.169504,7.211359,11.456268,1.976959,2.385808
5.555136,3.598792,1.443204,0.653382,0.702829,0.486920
13.962718,9.531239,4.099204,9.454597,1.733603,1.791920
30.778328,19.593092,9.890704,10.659823,2.472573,4.219591
35.097679,14.314597,13.138986,16.689930,3.241600,5.337296
31.473089,14.398428,13.510904,18.098356,3.439233,4.248148
17.097097,12.331785,4.741329,14.265309,2.813004,0.695113
7.004943,4.674867,2.081552,4.127038,0.899074,1.943756
13.020131,8.950070,3.758734,7.461061,0.650267,3.148335
19.422853,12.755731,4.920393,11.428759,2.042805,1.710879
10.514272,7.529017,2.541152,4.835018,0.920390,0.183265
6.897233,4.655041,3.417961,10.711710,1.580224,1.663997
21.424250,10.842789,13.677255,23.029205,4.940232,4.507949
21.443998,14.581755,9.532169,11.733190,3.798032,12.127501
16.228060,11.202529,4.913459,10.617475,2.570886,0.139267
22.862682,15.032787,13.103864,23.630522,3.982185,4.605678
13.814946,9.067801,5.922495,9.095091,1.948503,3.841240
13.229329,9.313149,3.532493,6.127197,1.039909,1.382054
28.085798,19.544670,11.482219,20.848942,5.086658,10.398602
9.903726,7.351439,4.453350,7.210834,1.134923,4.863328
12.084231,8.252017,11.546071,21.776411,4.758742,4.180191
8.964278,6.305432,2.746964,6.643746,2.394338,4.597237
59.527702,38.600842,37.628990,103.194794,21.628017,13.391624
6.195315,4.493450,2.223038,1.450683,0.460918,0.369510
31.715363,19.612436,15.849961,32.502380,8.198877,5.315056
4.918540,3.821232,1.748999,7.420054,0.674969,0.885921
23.842255,16.190643,7.752353,12.808449,3.434980,3.224425
8.379155,5.964652,2.676878,4.011760,0.534690,1.096015
22.295830,15.481943,6.801592,16.692865,2.924253,2.227154
16.106709,10.866103,4.775697,13.683414,3.109752,0.653556
17.795881,12.040692,5.608801,15.492142,1.507557,1.265992
12.958321,9.091714,4.229314,4.719590,1.570444,1.532137
7.997268,5.687064,2.861673,5.341715,1.260169,1.709957
15.808884,11.001096,3.483043,7.840403,2.662488,1.989241
32.980015,21.825853,7.336920,16.922106,3.086706,1.836081
6.403873,4.628574,1.722484,5.714649,0.705711,1.133235
19.069120,12.961192,5.606966,8.165167,2.170868,2.856473
