"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.500590,7.048267,6.686549,11.757513,1.571789,3.158223
5.214712,3.720415,4.722459,5.171155,1.159319,3.179430
19.335699,13.320674,4.798462,8.332479,0.607253,3.007486
11.047188,7.678333,3.612133,3.180215,0.956512,0.232683
13.163013,9.403341,6.199297,10.829555,1.682203,2.807817
6.744053,4.336233,2.223131,2.893978,0.490225,1.664612
9.951880,6.649243,3.690207,3.211567,0.260712,1.844727
14.013062,9.801218,8.149034,5.498673,1.609367,9.981062
33.182011,22.175360,11.722880,9.794337,2.077417,11.905384
13.909526,9.685824,4.583695,9.025819,1.206290,1.158403
8.882468,5.988981,4.884011,3.059133,0.429066,4.198919
19.467268,13.228214,7.963512,8.458745,1.459046,35.797863
12.546579,8.527624,5.137097,7.300302,1.294514,1.127108
10.015911,6.717109,3.939870,3.869284,0.684422,1.196433
25.960394,17.512600,7.142197,12.463135,2.028079,8.766629
5.142576,3.795448,2.086320,1.649321,0.374583,2.884714
9.455113,6.701360,3.441042,3.633996,0.753110,1.468254
10.771234,7.521273,3.724187,4.413581,0.815115,2.268909
5.306519,3.588965,3.053199,2.062232,0.218799,0.533335
10.981151,7.721782,4.623407,5.064773,0.818603,0.293539
11.136406,7.659084,3.193907,3.294062,0.638441,2.232411
5.505707,4.031156,2.274004,3.345597,0.777644,2.561385
7.217736,5.007423,2.857235,2.964441,0.363422,0.726307
10.065586,6.956936,3.669929,5.597877,1.063408,5.613777
10.120670,7.173634,3.670012,3.708419,0.819101,1.636432
25.331099,17.011950,7.010136,12.189859,1.063669,4.365145
10.266237,7.080976,2.904802,5.267136,1.021577,1.137074
6.059225,4.161936,3.375594,2.574749,0.357924,0.774697
12.765973,8.780905,4.353487,3.779858,0.715975,1.052789
17.058628,11.411319,4.356299,5.896081,1.012001,2.948586
5.675719,3.878679,2.353655,2.297829,0.763520,-0.251029
5.622165,3.733630,2.482368,1.653941,0.233264,1.781875
7.875878,5.602048,2.893368,4.242692,0.460325,1.402414
9.149389,6.327454,3.722361,4.641497,0.664432,0.535132
9.665519,6.731377,3.261225,5.048079,0.507059,1.141121
7.734515,5.310398,3.928262,2.215216,0.629302,1.155409
8.017671,5.498301,2.703145,3.732469,0.938573,0.525038
29.011703,19.083906,21.136217,22.595335,4.830214,23.823877
12.524693,8.635000,4.747113,7.453424,1.043633,2.267733
8.653288,5.955611,3.182181,3.498806,0.403585,1.509589
8.636746,5.836807,1.972644,3.749115,0.243702,0.879344
12.414812,8.613490,4.589259,4.215518,0.449602,2.250823
8.482330,5.847490,3.472349,3.876857,0.528212,1.782486
10.851287,7.245334,4.579452,4.697242,1.033488,3.634508
19.925657,13.434305,8.636440,11.162230,1.543440,8.130677
15.742263,10.606948,3.042430,5.159049,0.893325,1.149759
5.654451,3.838563,2.985962,4.408945,0.587355,3.193087
38.741013,24.561470,24.826584,32.092857,5.255069,11.419044
13.520390,9.656654,6.407294,14.918438,2.975006,15.923323
14.620614,9.772153,5.266827,8.154026,1.624891,2.965128
15.405873,11.019911,5.953493,10.751195,2.750833,7.153784
6.326770,4.330007,2.486339,2.377625,1.005426,2.063179
16.901861,12.008215,5.728566,5.414312,0.787492,3.107234
10.678626,6.705945,3.215669,2.622306,0.765076,0.758181
63.372845,36.685921,51.628796,63.576332,9.827154,27.369015
7.425335,5.147620,2.427287,2.066112,0.792159,1.333708
9.107941,6.383499,2.803399,1.493115,0.692372,6.080773
7.595586,5.122014,3.579140,3.640413,0.428411,0.781743
8.734217,5.894011,2.982842,3.260720,0.588114,1.894530
17.819046,12.041724,8.520200,10.964327,2.158154,3.241045
6.144230,4.418173,2.379553,2.628129,0.338994,0.814904
23.893698,16.106213,7.704693,9.412866,1.252844,2.254447
12.139413,8.204761,4.199602,3.022947,0.312660,0.264700
14.942525,10.436560,4.436643,3.680022,0.770128,0.402770
22.334230,15.457911,7.501654,6.619053,1.307165,3.646096
24.400644,17.064795,9.534681,7.009626,1.317233,1.017325
8.772729,6.257464,3.099751,4.386961,0.179587,1.471571
10.901581,7.804818,3.889515,5.674827,1.383849,2.188010
4.516126,3.259088,2.117406,3.453811,0.261263,1.013832
5.609239,4.088519,2.720793,1.760507,0.410289,1.304806
13.501814,9.304996,3.708856,6.799329,1.281034,1.643958
4.560843,3.249240,2.049967,2.949384,0.105326,-0.050401
11.464562,8.111215,3.880235,3.977773,1.365997,1.355647
14.023260,9.622700,4.235440,6.639445,0.612720,0.630961
9.431907,6.775156,6.186660,4.590808,1.002613,2.193773
9.309550,6.885598,3.286444,3.085775,0.980213,3.033706
14.109880,10.091079,3.885112,3.179667,1.125315,2.016256
14.366436,10.583249,9.603254,6.724805,0.660588,3.482262
15.316339,10.319548,4.617095,5.851274,1.521201,0.422477
7.628081,5.120762,2.575445,3.685409,0.686681,2.780009
6.550301,4.694834,2.283118,4.274132,0.638048,5.825399
7.086707,5.317746,2.996785,4.173636,0.445866,1.338009
11.540158,7.942027,11.672023,10.973397,2.258145,22.454655
19.419989,13.201856,12.912309,16.551104,2.836350,4.671810
12.830745,8.657130,3.160286,3.264567,0.763538,1.674051
6.350154,4.217808,1.893585,1.495918,0.407360,0.497836
8.907155,6.392688,2.860242,4.739842,0.804058,5.816411
7.177125,4.970721,2.524701,2.062401,1.165558,11.014262
10.112671,7.507824,3.386384,4.532996,1.160989,0.920186
5.264843,3.829912,2.332324,3.759252,0.598333,0.134027
7.713448,5.269733,4.092907,5.985672,1.030458,9.306521
11.339390,8.341458,6.964211,9.079576,1.588727,1.550100
15.765801,10.996625,4.098042,4.617594,0.868942,11.003813
12.534966,8.426115,4.921699,4.071612,1.056000,2.708849
10.829768,7.521792,3.724645,3.149955,0.907589,0.752407
8.857116,6.324631,3.402762,2.658343,0.603525,0.227888
12.676043,8.885406,3.340615,2.596497,0.838470,2.445385
6.059909,4.425525,4.482987,8.772536,1.741062,1.271004
9.870944,6.500881,3.507379,2.128078,0.880613,1.709481
6.690503,4.597668,2.075622,2.549596,0.810306,1.756063
12.347376,8.548398,4.165468,4.400462,0.855785,0.496401
9.094509,6.405491,3.289284,2.468897,0.703346,2.356465
6.858079,5.100147,3.083278,2.355959,0.362277,1.969029
13.047012,9.322028,6.100259,5.440511,1.433550,1.257176
34.709446,23.565228,8.480558,12.726547,2.466603,2.460474
6.147973,4.320108,2.750832,1.741798,0.368170,0.789133
10.287306,6.963764,3.111797,2.977152,0.316658,2.306800
6.858934,4.497960,2.420583,3.135901,0.988784,0.020396
10.188943,6.765452,2.971606,2.074990,0.737454,1.119875
4.079824,3.069488,1.799811,1.299234,0.508088,0.756496
13.012886,8.607725,3.777449,3.499547,0.897552,1.322504
8.579698,5.728968,3.711663,4.138740,0.729652,0.949386
6.670168,4.627180,2.551506,3.464087,0.616363,0.748855
10.320082,7.280049,3.782988,3.356594,0.945971,0.974569
10.356703,6.909570,5.744369,6.809357,1.266689,1.798402
10.098673,7.313763,3.857571,3.911664,0.648072,2.679214
7.304745,5.329368,2.855558,2.619964,0.168851,1.791717
12.623429,8.718877,3.676868,4.704769,0.991887,2.290802
40.100956,25.772144,14.131259,21.221291,2.562238,4.100755
7.385393,5.656549,5.403058,4.966542,0.899603,6.484478
13.971830,10.015142,4.438201,5.067229,0.679913,1.669979
