"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.850615,12.846607,5.103046,9.362600,0.567356,1.692679
29.138823,19.177568,21.208040,21.778271,31.967913,2863.974854
18.652969,13.549556,7.057544,4.475596,1.197045,1.770710
29.834747,19.885365,18.353359,15.165505,1.996691,7.853511
60.260590,36.808125,45.890518,58.942291,112.824051,4380.226562
26.589663,18.282766,11.266609,17.506523,2.188111,7.072826
5.201374,3.887402,2.374792,1.678107,0.543097,1.512299
35.871113,24.281809,10.293733,10.495821,18.759806,1413.629028
36.206032,22.511053,63.942715,63.261673,108.068413,4236.339355
63.473507,36.175083,42.048004,47.147831,105.653107,4421.078125
41.592693,28.434660,8.179697,11.212562,25.493441,1945.462036
40.735527,26.076115,8.206578,18.903425,20.335966,1171.801636
8.014116,5.414831,3.071038,3.725804,0.418762,-0.048901
7.642445,5.526923,2.960458,2.167824,0.505697,0.231319
6.822534,4.725736,5.154777,7.780543,0.784154,2.000106
77.597641,42.430702,72.990051,68.367317,182.177094,5242.458496
57.617893,36.669624,38.542606,36.333496,101.939987,4205.756348
10.206463,5.751254,6.705318,9.925457,3.982120,17.163839
65.565399,40.149025,15.220788,14.265566,43.563152,3489.975586
22.812737,16.419292,5.688607,3.899487,13.425855,1106.872192
17.027178,11.565334,8.044500,18.943211,31.622187,2552.021484
7.739768,4.015897,4.483043,12.092392,2.175273,13.149046
50.068810,29.970802,21.794922,31.417440,65.122589,4167.568359
13.901022,9.871365,4.234699,7.778320,1.996351,29.141119
5.473823,3.542042,3.005155,-0.227102,-0.221078,0.138718
22.607332,14.356920,47.030212,44.985874,93.224937,4205.411621
45.861084,26.734297,74.619942,104.820465,206.894760,5540.178223
82.882324,24.517160,6397.958496,617.202454,10.942011,6.722661
26.610003,16.822287,24.056118,19.014366,38.008709,3134.321533
16.697603,11.762271,5.357158,9.670751,20.210627,1813.059814
12.435094,8.563128,14.978781,15.691470,20.945131,1174.850708
86.209206,49.952503,63.788570,90.247864,141.322250,5020.537109
33.551491,17.152952,8.601841,11.960032,1.865102,30.302227
5.814384,4.084412,2.092391,0.741721,0.657283,0.649516
360.559631,84.001884,1203.920654,4455.218750,1974.298096,8176.935059
55.993805,36.789280,15.627593,7.398238,10.498489,871.985168
7.195536,4.887949,3.550301,3.911194,0.395249,8.649871
132.936646,45.420574,37.339413,25.286932,70.915520,5956.385254
123.641518,53.190662,61.124084,51.165955,120.846489,5790.169434
24.255968,14.119063,2.152726,5.454056,1.683255,8.333305
62.797531,39.436661,28.960100,20.459890,53.939800,3548.861328
81.567039,44.166470,74.913918,97.013046,148.644684,5330.554199
82.881920,50.525227,49.733494,65.286728,103.384377,4536.447266
47.153881,30.957493,32.982410,53.110233,44.517250,1512.740845
27.471422,19.064796,12.303874,14.457916,23.791113,1700.698120
5.462009,3.648941,15.578193,15.961180,9.586503,409.675507
18.029362,12.261414,5.741899,11.808154,4.883901,20.193396
99.850616,50.867622,48.596992,75.176277,84.751892,5002.529297
18.013533,11.594521,23.657820,29.259323,40.164074,2171.066406
