d1,k1,,k2,Kd,n
0.015155429,4.340102636,,0.862647431,1.909120466,1.057384439
0.019248297,3.912911271,,0.000395822,70.38822279,2.430915929
0.018361255,0.045272381,,0.181621253,0.26556245,1.029896957
0.018276934,7.258273574,,0.013777381,0.362382041,1.275002433
0.01573748,0.14261548,,0.128578,0.224302097,1.70704371
0.017323,1.115578151,,0.42250644,2.780780227,1.729673818
0.017003711,0.37946058,,0.336899216,31.56215633,0.624381631
0.018833829,0.440723965,,0.011681537,0.808164929,0.544309832
0.016387395,0.322973334,,0.646894313,0.195358959,0.619639062
0.019141538,7.147705768,,0.000859343,0.502149845,2.031436122
0.016733578,0.599100939,,0.005655878,2.251645417,3.220980664
0.018670193,4.373542321,,0.005278372,569.9455056,1.77706937
0.015080045,1.094376268,,2.665835416,0.207730373,0.62481457
0.018497334,1.295686698,,0.00278078,0.745589872,0.526863083
0.016749632,3.651741273,,0.148194926,119.9959716,1.773377898
0.018347175,3.381945983,,0.016755858,0.178169489,2.896880153
0.019287098,0.313208351,,0.226030303,0.875991718,1.292800804
0.017152741,0.040973211,,5.655877571,3.912911271,1.598257651
0.01950284,1.545847567,,4.98310456,0.57433683,1.851250339
0.018437123,0.739889164,,0.000599101,3.084371394,3.454555284
0.019783501,1.001920663,,0.002991117,50.21498454,0.67245051
0.015549965,0.07542234,,0.01081849,1.137190789,0.565853307
0.017258335,0.29006812,,0.00038092,0.43567904,0.969625805
0.018808561,0.078373035,,0.038979237,21.58572633,1.873193582
0.01962102,2.968246743,,0.021175483,0.213386366,1.383670089
0.0182857,3.27969406,,0.014316384,12.27910369,2.441046876
0.016553231,1.80925591,,0.020456594,792.8055225,0.786489822
0.017208757,0.765890472,,0.333042762,4926.063433,0.612380394
0.018282193,0.14933674,,0.000517806,0.201449719,1.696427764
0.016185926,0.179542251,,0.002357762,51.58221651,3.621280674
0.019189322,4.632690995,,0.046505038,1251.699273,1.039939788
0.019150718,7.342320421,,0.161870112,2175.204034,1.291009843
0.017741609,0.033689922,,6.878599123,0.112849594,1.267073312
0.016176616,5.56971962,,0.001858518,3794.605804,1.053726166
0.01816685,0.220039171,,0.009033028,21.66872377,1.491227117
0.015668213,0.098665806,,0.000118168,1.367204041,3.08977118
0.015825254,7.011861566,,2.625225818,1132.835021,1.203720131
0.017037988,2.686375182,,0.37946058,12.710618,1.833372578
0.019108527,0.580987337,,0.011862239,0.139905031,0.906576079
0.017520131,0.200678109,,2.175204034,2.575332647,0.789767552
0.015860196,0.479549379,,2.507071193,139.3691549,0.66595657
0.016717539,2.934269504,,0.540132115,5.158221651,1.403958217
0.015196176,0.386812055,,0.335608795,2.421958329,3.900069951
0.015156882,4.208881192,,0.004458273,3.368992157,3.598760268
0.015696787,4.14476584,,0.000646894,13.77738094,1.092399077
0.018151178,0.536002317,,0.000717519,170.1505406,1.068435635
0.016990672,0.774759066,,0.001420692,10.01920663,1.500558953
0.019547777,0.388299353,,0.000358234,0.185139889,1.285651833
0.017631368,0.040816272,,0.005118782,0.187283708,0.509269069
0.0172981,0.06060382,,0.001961101,0.3988718,1.476826146
0.017235181,0.134637695,,0.601404491,1.094376268,1.535278091
0.017444691,9.314652699,,0.054013211,7.571233961,0.749240089
0.019688872,9.067759646,,5.238014142,64.19482215,1.220523438
0.019092042,1.209205183,,0.003120087,4.907195194,0.855891604
0.015843475,0.252638771,,0.811272335,2.268993926,0.586620747
