d1,k1,d2,k2,Kd,n,k3
0.017376239,0.7120328,0.204565944,0.000343426,0.964198978,0.689441477,0.00082699
0.016878621,0.538063253,0.000177487,0.00192383,5.319040944,2.627152595,0.000572137
0.019846205,9.422511294,0.820666426,0.751334503,5.677624505,0.833642075,0.862647431
0.017750118,8.175230379,0.945874099,0.032796941,1.141563305,0.533477748,0.000728618
0.019840496,0.070118616,0.000422506,2.516710919,12.27910369,2.230705407,0.016063247
0.018407091,1.181680313,0.561263327,5.484874144,36.37754054,1.883609625,0.004722442
0.016688708,1.768072218,0.000151647,1.310690042,7.093055097,3.111262238,2.507071193
0.018303243,0.38979237,4.50989745,0.035686175,0.100192066,3.040903427,0.664507673
0.018492013,5.360023165,0.001177154,0.000104512,4.475415208,1.195405429,0.004225064
0.019607853,0.429042189,0.052783721,0.000114156,9.24343376,3.741197166,0.01372461
0.018234919,4.57966102,0.031927629,0.01624925,2150.304679,1.163523218,1.086008772
0.019028071,0.56776245,0.000245942,0.136196726,105.7223156,1.430480667,0.003192763
0.019136032,0.667062715,0.046505038,1.70804772,0.354133219,0.517094548,1.901807986
0.015761645,0.131069004,9.24343376,0.035413322,3.460721624,0.989313727,1.70804772
0.018301488,0.757123396,0.0047406,0.01575796,0.145937421,3.490660384,0.000229527
0.017505017,1.415250553,0.065187851,5.591135276,52.78372068,0.546199538,0.000246888
0.016086894,0.27070732,0.001837243,9.458740991,0.454464537,1.75625216,0.000363775
0.019605973,1.177154137,0.08365656,1.499109421,0.544293732,0.892856358,0.200678109
0.017453057,0.111986757,0.003838545,1.551791374,0.211754834,0.646848608,0.263531985
0.017869668,2.217345319,4.065993375,0.001741139,4081.62718,0.718221129,0.069850041
0.018593366,0.394305953,1.788545529,1.51065978,4.390358656,1.358015551,0.153402816
0.015311734,0.119995972,0.056776245,7.807284401,2.03001852,0.757595675,5.278372068
0.019636078,2.243020967,3.317671128,0.000456212,146.4985524,1.088619663,0.225164542
0.016941863,2.545853058,0.59452027,0.000178855,239.4234402,0.653609111,0.005319041
0.019897656,0.506018817,0.039734401,0.324215171,0.414476584,3.167841163,0.001999095
0.019279702,0.470435406,0.041130754,0.015399265,0.12421289,0.891001645,2.676085593
0.01718567,1.781694886,0.000310814,0.001594043,4.964017837,1.635237289,0.01575796
0.018095565,0.038829935,0.187283708,0.000264545,0.119078494,3.399918114,0.03381946
0.018371823,4.019450334,0.865964323,0.170150541,0.286747738,1.111493876,1.090184492
0.016332486,8.560517117,0.002014497,0.025951751,4.019450334,0.655423815,4.458273081
0.019233537,1.872837083,0.000583221,0.527837207,13.05669723,2.014609189,0.257533265
0.017436328,0.745589872,0.000134638,0.021585726,0.316835133,1.391364098,0.000615413
0.015239956,0.354133219,0.000325462,1.232631703,81.12723354,0.799128825,0.140442968
0.016794666,0.849506423,0.034873858,0.000257533,2.507071193,1.127009753,0.335608795
0.016591371,0.066962758,1.017419366,1.476272965,2.707073204,0.546957257,0.001481949
0.018007283,0.363775405,3.060788587,3.943059525,927.8974901,0.508916192,0.250707119
0.015267748,0.258523484,0.7120328,0.001865664,1.51065978,3.689691,0.008527728
0.01763475,0.695824955,0.005899746,0.078674381,3.037386092,1.711783207,0.12956867
0.015538041,0.739889164,0.002069347,0.000504081,15.63747638,3.128562662,0.002175204
0.018886277,1.80232594,0.00019611,0.762956891,2.321845584,0.983842989,0.003665782
0.015506782,0.583221242,0.033304276,0.003500795,0.521795104,0.782140665,0.041607025
0.019163578,0.062015464,0.002385064,0.394305953,0.105317369,0.588249462,0.000422506
0.01796761,0.734232042,0.018656636,0.000956827,1.761299993,1.764794256,0.001150359
0.016366979,0.143163838,0.002968247,0.084625257,1.119867566,1.143534586,0.896396186
0.016696711,5.422089308,0.563421393,0.268637518,2.053525026,0.715240334,0.046505038
0.019031721,0.507964467,0.207730373,0.024688801,3.823842537,0.581761609,0.074558987
0.015617212,7.600345469,0.465050376,7.286181745,153.4028165,0.560777356,0.004290422
0.015168514,2.507071193,0.211754834,0.069850041,1.844307504,1.155486176,0.002625226
0.017250062,0.046149465,0.014316384,0.0370823,2.468880105,1.274118975,0.098287887
0.018375347,0.135155379,0.005380633,0.000470435,62.7335696,1.871895633,0.039582206
0.018506205,0.285649411,0.001741139,0.003596113,0.109858416,2.307770884,0.000477713
0.017876524,0.4632691,0.000529867,0.7120328,58.77148532,0.880564141,0.964198978
0.016151815,0.101741937,1.437143053,0.136720404,0.308437139,2.86493022,0.00394306
0.018797743,1.682028435,0.000632169,0.06037169,0.277012904,1.728475315,0.044072397
0.01603453,0.664507673,0.000197621,0.000383855,0.13309651,3.756788767,0.000862647
0.017988298,6.249328199,0.000533949,0.179542251,38.23842537,0.876301966,0.287850287
0.017075607,0.401945033,2.676085593,0.000768835,1865.663579,0.528325885,0.78072844
0.016221665,6.321692009,0.036099401,0.000632169,44.58273081,2.518387002,0.000115478
0.015087277,0.054848741,0.018092559,0.001073577,1.669167807,0.630033305,0.000202224
0.016935366,0.439035866,0.193122704,0.033176711,25.75332647,0.79746881,0.00615413
0.016683907,2.321845584,0.032671319,0.561263327,77.47590655,0.894714933,0.000343426
0.016984156,0.100577306,0.148194926,0.005991009,105.3173687,0.847038823,2.077303726
0.016168862,9.350467678,1.80232594,2.268993926,1.300668632,1.181402033,0.000233973
0.018060893,0.12469049,0.000297966,0.000116368,0.191646106,3.891968409,0.000585464
0.018440659,0.132078867,0.012613434,0.00020773,0.275951865,3.109106423,1.768072218
0.019418862,0.325461783,5.634213934,0.060140449,3.838545268,0.969625805,0.035142555
0.016826907,0.26556245,0.012661933,0.000177487,0.23577622,3.30924017,0.416070253
0.019051807,0.166916781,0.000108601,0.148194926,1.2710618,3.601255603,1.938652636
0.016036067,0.100964028,0.045272381,0.000748457,0.148764737,0.626115187,1.741138559
0.018212201,3.180533688,0.145937421,0.24312708,3514.255501,0.608572058,0.000814392
0.018259416,1.295686698,0.012956867,0.395822065,0.942251129,0.537933597,0.005854637
0.016371688,1.528152396,0.001656406,0.016063247,23.66827827,2.456322517,0.003637754
0.016068393,1.053173687,2.575332647,0.315621563,2.251645417,3.471357621,1.275949051
0.017334632,0.08238219,5.298667488,0.040816272,0.102920053,2.676782651,0.040504195
0.018352454,0.236682783,0.592243087,0.000348739,1.053173687,2.304573851,0.068785991
0.017494948,0.252638771,0.001261343,0.856051712,6.619624175,0.704416203,0.023668278
0.016510428,1.090184492,0.002802206,0.000394306,8726.364175,0.619639062,0.000461495
0.016212334,4.851022995,1.522299133,0.003474028,0.706588666,1.793154752,0.698500412
0.017979675,1.037130326,0.079585387,0.025556419,0.182319589,1.70704371,0.000552713
0.016003807,0.201449719,0.004113075,0.06321692,5.634213934,3.23440424,0.057433683
0.018772523,0.725827357,0.00293427,0.000127106,42.08881192,1.138788635,0.00019611
0.015947125,0.186566358,4.390358656,0.004926063,32.2973334,1.348635052,0.042250644
0.016680708,0.783730353,0.015281524,4.273988343,32.42151713,0.503303313,0.002133864
0.019775914,1.816212526,0.06060382,0.010451212,6.958249547,0.8630404,0.001865664
0.018680939,0.334323317,0.000215857,0.021175483,6.468943132,0.701006633,0.193865264
0.019815778,0.107770525,2.545853058,0.382384254,0.283465363,0.652703644,0.008793599
0.019226161,0.542208931,0.517805509,0.045272381,30.37386092,1.583920582,2.330773115
0.019562778,0.278078023,1.816212526,0.525815439,1141.563305,0.531263683,0.174783326
0.016915889,0.608368426,0.00026967,0.003527768,67.22023091,1.520451714,0.024312708
0.016699914,5.765451635,0.048696753,0.026658354,119.5363526,1.077359696,0.1600172
