d1,k1,d2,k2,Kd,n,k3,d3,k4
0.0163975,1.545000312,0.003380092,0.02229535,18.15217089,0.695613165,0.066123699,0.000227772,2.572510422
0.018638505,1.053173687,3.700107021,0.011303535,7542.233958,1.716195951,0.000767993,0.030675081,0.839321932
0.015197009,0.026760856,0.000161781,1.104623519,29.53637157,0.969625805,0.014609752,7.617030845,0.802865613
0.019829356,0.010866043,0.000209446,1.517299898,2747.442243,3.446355265,0.583541072,0.000157062,2.104816724
0.019422853,0.156546318,0.010706385,0.000414477,1666.424777,3.483409302,0.000543697,0.415158836,0.004552126
0.017013964,1.404429684,0.00039258,5.17521708,5.893280912,0.761808347,2.160940739,5.392444877,0.000180628
0.01507199,0.001636547,0.000125376,0.003222658,2.373324611,3.198731725,0.001058383,0.010991866,0.011174145
0.017431552,0.011303535,0.370010702,1.562890572,1084.81865,1.604759546,0.111557815,0.056838533,6.040479692
0.017995692,0.199034596,0.049260634,7.096944821,18.91410146,1.319442583,0.280220562,0.009861173,0.001716496
0.018131545,0.000593218,0.000189452,0.000337454,0.240871665,1.213774149,0.001179738,0.015248049,3.46451828
0.016867757,3.391229199,0.181820504,1.897642008,2.79300317,0.696233365,0.007989139,0.001406741,2.64980726
0.016240565,0.000271599,0.201008437,0.011875253,5518.051053,0.553550066,0.000731019,2.654168994,0.266291401
0.016669286,1.330235616,0.000171086,0.075920165,1191.437948,2.291376112,0.001633858,0.000123534,0.009479506
0.016253251,0.002053525,0.077179152,0.000999178,3.057434366,2.805970808,4.727623221,0.00884679,0.000275196
0.019035632,9.780411843,0.54638655,4.057086672,1.800350828,1.715686208,0.000594194,0.001392928,0.000579715
0.019880763,0.012978195,0.058642744,0.000128719,9248.502719,1.249629139,9.023128512,0.003964736,0.020400596
0.015268376,4.397585437,0.056745127,0.008476455,4.774507407,1.996932703,0.000541912,0.136122078,0.027294267
0.017434418,0.000387449,0.004958578,0.05074078,235.3887563,2.826047499,1.020771583,5.383583192,0.000614065
0.017602166,0.104971506,0.001724987,0.094483755,7989.139417,0.976563468,0.000602064,6.515212293,5.032522373
