d1,k1,d2,k2,Kd,n,k3
0.01829,4.004054683,0.116714521,0.001023,90.41,0.964487,0.000432
0.01829,0.089296273,0.116859155,0.001023,90.41,0.964487,0.000432
0.01829,0.304906489,0.116712523,0.001023,90.41,0.964487,0.000432
0.01829,2.125690345,0.116691848,0.001023,90.41,0.964487,0.000432
0.01829,2.878502869,0.116849954,0.001023,90.41,0.964487,0.000432
0.01829,0.254585306,0.116739697,0.001023,90.41,0.964487,0.000432
0.01829,6.44416522,0.116748589,0.001023,90.41,0.964487,0.000432
0.01829,0.856051712,0.11671572,0.001023,90.41,0.964487,0.000432
0.01829,0.982878873,0.116867057,0.001023,90.41,0.964487,0.000432
0.01829,4.208881192,0.116887163,0.001023,90.41,0.964487,0.000432
0.01829,0.198380966,0.116933591,0.001023,90.41,0.964487,0.000432
0.01829,5.634213934,0.116952908,0.001023,90.41,0.964487,0.000432
0.01829,1.256512076,0.116889964,0.001023,90.41,0.964487,0.000432
0.01829,9.94260074,0.116942599,0.001023,90.41,0.964487,0.000432
0.01829,1.522299133,0.11680136,0.001023,90.41,0.964487,0.000432
0.01829,2.053525026,0.116955911,0.001023,90.41,0.964487,0.000432
0.01829,0.26556245,0.116838654,0.001023,90.41,0.964487,0.000432
0.01829,0.461494646,0.116784767,0.001023,90.41,0.964487,0.000432
0.01829,8.963961859,0.116697541,0.001023,90.41,0.964487,0.000432
0.01829,0.62493282,0.116973029,0.001023,90.41,0.964487,0.000432
0.01829,0.098665806,0.116748889,0.001023,90.41,0.964487,0.000432
0.01829,0.57433683,0.116882061,0.001023,90.41,0.964487,0.000432
0.01829,6.619624175,0.116819256,0.001023,90.41,0.964487,0.000432
0.01829,0.174783326,0.116751787,0.001023,90.41,0.964487,0.000432
0.01829,0.324215171,0.116701636,0.001023,90.41,0.964487,0.000432
0.01829,0.115035884,0.116701036,0.001023,90.41,0.964487,0.000432
0.01829,2.7279307,0.116734501,0.001023,90.41,0.964487,0.000432
0.01829,2.945551814,0.116869958,0.001023,90.41,0.964487,0.000432
0.01829,0.258523484,0.11674819,0.001023,90.41,0.964487,0.000432
0.01829,8.62647431,0.116899469,0.001023,90.41,0.964487,0.000432
0.01829,5.945202704,0.116784967,0.001023,90.41,0.964487,0.000432
0.01829,3.242151713,0.116730805,0.001023,90.41,0.964487,0.000432
0.01829,8.112723354,0.116713322,0.001023,90.41,0.964487,0.000432
0.01829,2.093308965,0.116866257,0.001023,90.41,0.964487,0.000432
0.01829,4.527238074,0.116833854,0.001023,90.41,0.964487,0.000432
0.01829,9.03302752,0.116960015,0.001023,90.41,0.964487,0.000432
0.01829,7.175188804,0.116916379,0.001023,90.41,0.964487,0.000432
0.01829,0.411307536,0.116854755,0.001023,90.41,0.964487,0.000432
0.01829,1.459374208,0.116789265,0.001023,90.41,0.964487,0.000432
0.01829,0.7120328,0.116816156,0.001023,90.41,0.964487,0.000432
0.01829,4.08162718,0.116839754,0.001023,90.41,0.964487,0.000432
0.01829,6.107076122,0.116913077,0.001023,90.41,0.964487,0.000432
0.01829,0.104111811,0.116751088,0.001023,90.41,0.964487,0.000432
0.01829,0.231295225,0.116739097,0.001023,90.41,0.964487,0.000432
0.01829,2.225871045,0.116860055,0.001023,90.41,0.964487,0.000432
0.01829,6.90504744,0.116714221,0.001023,90.41,0.964487,0.000432
0.01829,0.913762505,0.116883762,0.001023,90.41,0.964487,0.000432
0.01829,7.427340485,0.116963419,0.001023,90.41,0.964487,0.000432
0.01829,0.213386366,0.116922083,0.001023,90.41,0.964487,0.000432
0.01829,0.667062715,0.11690107,0.001023,90.41,0.964487,0.000432
0.01829,3.882993528,0.11698174,0.001023,90.41,0.964487,0.000432
0.01829,4.356790396,0.116834754,0.001023,90.41,0.964487,0.000432
0.01829,0.240344027,0.116926085,0.001023,90.41,0.964487,0.000432
0.01829,1.361967256,0.116741295,0.001023,90.41,0.964487,0.000432
0.01829,0.354133219,0.116704432,0.001023,90.41,0.964487,0.000432
0.01829,2.63531985,0.11696412,0.001023,90.41,0.964487,0.000432
0.01829,0.224302097,0.116716019,0.001023,90.41,0.964487,0.000432
0.01829,4.323478796,0.116944901,0.001023,90.41,0.964487,0.000432
0.01829,0.336899216,0.116927687,0.001023,90.41,0.964487,0.000432
0.01829,6.722023091,0.116739497,0.001023,90.41,0.964487,0.000432
