d1,k1,d2,k2,Kd,n,k3,d3,k4
0.019387231,0.836565596,0.000125651,0.007286182,0.130566972,2.375942628,0.000468634,0.00293427,0.001033158
0.017119876,4.113075359,0.010943763,0.193865264,1650.061001,0.83885886,0.62493282,0.679986045,0.000286748
0.015194719,0.445827308,0.000401945,0.007958539,38.82993528,1.192922236,0.000152815,5.118782384,0.385330453
0.017251716,0.116367937,0.008301693,0.045098975,1.983809657,0.730269053,0.259517511,0.001351554,0.035277679
0.017902256,0.090330275,0.370823003,0.151065978,38.23842537,3.517377062,0.000100964,0.208529099,0.000554839
0.015210756,0.126134338,0.015879372,0.066450767,29.68246743,0.87448164,0.001563748,0.016820284,0.001437143
0.015642692,0.218356773,0.023487313,3.330427623,146.4985524,1.52467315,0.442418555,0.000148765,2.366827827
0.019364935,0.089296273,0.00140443,0.254585306,0.340800325,1.393294276,0.024126815,0.000222587,0.00063704
0.019685096,8.593432434,2.304092976,0.040504195,69.0504744,3.505207862,0.000365174,0.001880038,0.306078859
0.018668403,0.935046768,2.069347055,0.745589872,0.585463736,2.574870722,3.500794892,1.643740793,0.147627297
0.016687107,0.960505818,0.054013211,0.000140443,372.2488231,0.846451904,1.154781985,0.000846253,0.000183724
0.019474807,1.181680313,0.000701186,1.346376946,6.594269111,2.643592852,0.000324215,0.001809256,0.000805069
0.016025307,1.195363526,0.309623085,0.001721208,1115.578151,0.665033997,0.003765593,1.761299993,0.001727826
0.019264917,0.149910942,0.001802326,2.956877505,0.111130517,3.8731302,0.210943752,0.018585176,3.132083512
0.017090351,0.601404491,0.001218522,2.403440269,86.59643234,1.206225801,1.650061001,0.017015054,0.000104512
0.016251247,1.361967256,0.013567505,0.000127595,1.057223156,3.062054583,0.009314653,0.024219583,8.861352237
0.019024422,0.388299353,0.002251645,0.000174114,3.751169311,0.991373087,0.244061907,0.001237371,0.001612501
0.015769204,0.444119661,0.342110707,0.005484874,1.887266945,0.770304095,0.000389792,0.754223396,3.694026444
0.018792336,0.798913942,8.39782203,0.012956867,48.88399226,0.551143537,0.001887267,0.000774759,0.805069425
0.019619138,8.659643234,4.650503762,0.000115922,1037.130326,1.204554776,0.24688801,0.138835331,0.695824955
0.015785847,0.81439169,0.316835133,0.000395822,325.4617835,0.641935388,0.004081627,0.000690505,0.168202843
0.019370506,2.045659435,0.057876199,0.001946107,7.258273574,1.434452305,0.000646894,0.000153993,0.06345999
0.015094512,0.12421289,0.076589047,0.036238204,0.805069425,2.178748997,0.000554839,3.002617421,0.0003408
0.015400086,9.641989777,0.556971962,0.11726453,2.125690345,1.829564148,0.000463269,0.000170805,1.701505406
0.016809166,5.380632535,0.003736801,0.00050215,3.43426128,0.71227191,0.687859912,0.006569011,8.23821901
0.016822067,0.27070732,1.053173687,1.594042881,18.51398894,1.113807568,0.000252639,0.006130558,0.001163679
0.018991613,0.59680621,0.472244237,0.040816272,3.694026444,1.22901285,0.362382041,0.006905047,0.009102625
0.016554818,2.487902367,0.001694988,0.001727826,3168.35133,0.787035164,2.968246743,0.116815373,9.86658057
0.015426691,1.734469497,0.009350468,1.823195891,65.69011165,0.528325885,0.338194598,0.002260303,0.004632691
0.017284835,2.459423584,0.000475883,0.015940429,45.44645372,1.849967595,0.049260634,0.280220562,0.013056697
0.016002272,4.004054683,0.479549379,0.003317671,28.12980144,3.15469384,3.43426128,0.034342613,0.061305579
0.016433031,0.397344007,2.03001852,0.049071952,49.64017837,3.659128296,0.002321846,0.206934706,0.000270707
0.015042493,6.931597451,0.026658354,0.306078859,11.02808234,1.457504159,0.000523801,0.000540132,0.028564941
0.019031721,0.400405468,0.979114164,0.004208881,504.0806191,0.669195663,0.199143743,0.00817523,0.148194926
0.018326074,1.865663579,0.000204566,4.208881192,583.2212419,0.609838864,0.024406191,0.005021498,0.000601404
0.017745012,0.617779273,6.249328199,0.019914374,74.84566763,0.959596633,0.052380141,1.025258393,0.007484567
0.015942538,0.134121994,0.00069316,0.777738026,28.02205622,0.517811891,0.000116368,3.14412642,0.073988916
0.015772229,0.165640551,0.373680125,0.049831046,15.28152396,1.717726088,0.02304093,0.990451772,0.200678109
0.016765701,4.544645372,0.354133219,0.001809256,27.48948899,3.444990489,0.000263532,0.061777927,0.000123263
0.018949772,0.56776245,0.395822065,8.593432434,0.4851023,3.100498088,0.000513846,0.040973211,0.014819493
0.015875412,3.487385841,0.017680722,0.001865664,82.69895086,0.715240334,0.004323479,0.002459424,0.001325867
0.015684749,0.167558578,1.128495938,0.034080032,144.8215973,0.986574566,0.032923045,0.190180799,0.000760035
0.019405831,0.125651208,0.439035866,0.045446454,31.6835133,0.972317909,0.00024879,0.011028082,2.101357769
0.017614469,2.166872377,0.045272381,4.926063433,185.8517551,1.243580586,0.000158185,0.001168154,5.484874144
0.016545296,3.132083512,0.171461519,0.023759283,76.88353322,3.702500679,1.51065978,0.437354232,0.00615413
