d1,k1,,k2,Kd,n
0.015876935,0.649381632,,0.013463769,0.542208931,2.582019686
0.016581828,0.356861749,,0.000306079,207.7303726,1.343037884
0.019512193,0.450989745,,0.000296825,0.121852188,1.390400012
0.016207671,2.260303027,,0.664507673,0.148194926,1.027757571
0.017668603,2.20039171,,0.000175455,0.457966102,1.557789177
0.018570202,0.43234788,,0.029342695,1.393691549,1.110723714
0.019242761,1.575796023,,0.000112417,32.42151713,0.748720935
0.01684305,0.967906337,,0.145378439,0.817523038,2.483715624
0.017655054,7.688353322,,0.475882791,95.6826805,0.910985502
0.017811501,0.047224424,,0.131069004,11.50358838,0.539427135
0.018518631,0.078072844,,1.788545529,3.637754054,1.799380134
0.018259416,4.632690995,,0.017748705,153.9926526,2.193903394
0.018506205,2.923030408,,1.953589594,0.833361309,3.29094063
0.018273429,6.90504744,,3.304963494,7.2304723,1.161106253
0.018208709,4.75882791,,0.006370399,5.118782384,0.852930444
0.018243664,0.139905031,,0.012373712,0.259517511,3.522256564
0.019937766,2.545853058,,0.000125651,0.942251129,0.74406471
0.016833362,4.407239651,,0.056776245,9350.467678,0.56899978
0.015886072,5.854637363,,0.004527238,1.330965097,2.157708539
0.016612068,0.095316188,,0.267608559,3.460721624,1.77953462
0.01526043,0.416070253,,0.000238506,0.789768849,0.805803513
0.0180973,0.06345999,,0.017015054,0.182319589,1.849967595
0.016817228,6.177792731,,7.011861566,0.269670434,2.333507331
0.019370506,0.152229913,,0.102525839,3.205039109,1.491227117
0.015220969,0.986658057,,0.044411966,1.761299993,1.330990247
0.018380634,0.05217951,,0.986658057,13.25867118,0.992060493
0.019130528,8.895424269,,1.426154796,5.17805509,0.649994763
0.018341897,6.852252111,,0.000179542,0.994260074,0.791960291
0.017228571,0.651878514,,1.305669723,1.70804772,2.318995467
0.015840437,0.125651208,,0.015106598,0.644416522,3.055693835
0.0193371,4.356790396,,0.437354232,0.24688801,1.733274316
0.016706321,6.44416522,,5.099175976,0.416070253,1.587217679
0.016407837,7.897688494,,6.014044907,43.06918629,2.912988488
0.019730453,0.786743808,,0.00195359,7.175188804,0.710299808
0.017337957,0.047588279,,0.003072557,0.109018449,0.844693585
0.017705918,3.108135903,,0.033432332,0.344746607,1.138788635
0.015046821,2.217345319,,0.427398834,53.60023165,2.139835658
0.017225267,0.128085509,,0.000100964,102.5258393,1.348635052
0.019585303,0.606038201,,3.751169311,0.502149845,1.127791207
0.017215359,8.963961859,,0.001195364,0.964198978,1.613842737
0.015048264,0.048883992,,0.000674787,0.111986757,1.193749393
0.018014191,2.487902367,,0.008112723,4340.102636,0.677597285
0.015098855,2.555641901,,0.014819493,0.92789749,1.698781144
0.018053966,0.033560879,,3.096230849,0.25556419,0.842938919
0.019134198,0.344746607,,0.072027775,38.0919612,1.469677897
0.018111189,0.107770525,,0.000270707,1.504873519,0.582972607
0.017352927,1.999094542,,0.017954225,2.52638771,0.509622189
0.01950284,0.130566972,,0.000115478,20.22242965,0.866637158
0.015810086,1.431638382,,0.006594269,127.5949051,2.092895096
0.017981399,6.037169,,0.019838097,1.065368864,1.857677415
0.015422254,1.341219935,,0.008206664,83.01692956,1.248763262
0.018960678,3.460721624,,0.37946058,111.5578151,3.452161599
0.016296504,7.202777512,,0.008081649,177.4870482,1.564281331
0.01576618,0.230409298,,0.020144972,1.669167807,0.923062346
0.017562183,0.72304723,,0.001431638,6.014044907,3.940831323
0.019534659,1.280855095,,0.001356751,226.0303027,1.420599616
0.016198348,2.748948899,,0.020456594,0.397344007,0.668268603
0.019383513,3.665782273,,0.199143743,792.8055225,1.116899983
0.01993012,3.205039109,,6.79986045,0.507964467,0.956939751
0.016632789,1.090184492,,0.27489489,0.140982974,0.574150158
0.019439356,3.394949616,,0.000406599,1.341219935,2.307770884
0.019932031,0.050408062,,3.582338881,0.137246096,2.174223123
0.019666228,0.056342139,,0.397344007,25.8523484,3.796052644
0.015454824,0.312008673,,0.000496402,0.205352503,0.704416203
0.019628547,1.837243276,,0.000321736,4.097321098,0.503652297
0.015456306,0.03596113,,0.005677625,22.25871045,3.551676053
0.01747818,1.001920663,,0.018023259,158.7937238,2.218369982
0.018028016,3.22973334,,0.000213386,3.037386092,1.064739129
