d1,k1,d2,k2,Kd,n,k3
0.016181852,0.001633522,0.000258152,0.026876642,1104.396445,1.503291723,0.929233803
0.015466129,0.000830568,0.000137049,0.065974332,0.114650248,2.609683774,0.000103962
0.017344816,0.003068139,0.001546589,0.008258002,800.0644989,1.215352658,0.168606767
0.017729492,0.008187004,0.002955459,1.542144254,223.5501677,0.738221162,0.00480701
0.01914085,0.001110772,0.013431515,0.790906236,0.539355361,3.37204783,7.886330981
0.019471306,0.003678112,0.000337384,0.797765039,0.168122175,3.533566353,0.019358647
0.016017433,0.002327421,0.000563151,3.615138997,7.684666063,1.524541053,0.038403871
0.019843113,0.009646616,0.208029536,0.036570003,879.7818537,3.319865974,0.000130504
0.017530425,0.001268017,1.700689381,0.727570363,86.22337138,3.135346739,0.073599523
0.018936829,0.004115049,0.012074662,0.053471824,25.59322413,1.985324728,0.272662241
0.018182754,0.002402288,0.014186491,0.028224418,0.133160372,0.958350302,0.006654647
0.017947592,0.010792573,0.249387683,2.930049788,9.591245336,0.903204763,0.000120747
0.017065172,0.001913705,0.005829415,0.015465893,0.368871414,2.889610419,0.00041747
0.016732174,0.000631866,0.003710009,0.019809568,7028.699885,3.363294241,0.663552057
0.018927298,0.006139387,0.905471948,1.801461562,0.160555431,1.962748061,3.952528408
0.019128464,0.007954722,0.00032406,0.016382305,50.48065717,3.526226143,1.963925459
0.015689074,0.003688714,0.002863354,1.094901372,21.28751662,0.931821162,0.039298412
0.015216774,0.01173208,1.838124823,2.388498649,0.268766416,0.68036225,0.469758882
0.015283679,0.002938495,1.308805164,0.003604749,0.312158381,2.636958744,0.001024767
0.019083119,0.0063005,0.093999382,0.000748816,97.02306722,1.875954712,0.000910699
0.01873094,0.00418673,4.876688323,6.559564397,0.36993464,2.40764886,0.129010483
0.016540735,0.003139605,5.150803712,0.119708503,0.149839046,0.526269978,0.001464283
0.01822727,0.000869711,0.000205648,0.000224195,5091.842949,0.620875109,0.003667541
0.016757464,0.008023706,0.006282392,1.268016778,0.887411393,2.865674998,0.000867211
0.015894644,0.001123634,3.130581396,0.350247464,67.90081702,0.649263045,0.003678112
0.015487277,0.01169836,0.000482087,1.681221751,36.25559192,2.771899594,0.000205057
0.018381295,0.002955459,0.325930498,0.052707813,4091.42882,3.307806862,0.109805729
0.016026651,0.008353625,0.572960919,0.000400982,4807.009717,2.040786131,0.000781853
0.01540064,0.001992393,7.909062364,0.0009239,413.8805333,1.214089687,0.000343261
0.018606074,0.001098057,0.00029983,0.004056253,0.282244183,1.595075817,1.239153192
0.018945002,0.005077209,0.196958623,0.001117185,1.661976964,2.294015279,0.72131506
0.016625414,0.016241457,0.00849914,0.000113338,0.504806572,1.570392296,0.748815801
0.019554104,0.005829415,0.041388053,1.569007429,2.814329869,1.422693612,0.000434635
0.016862645,0.006988356,0.041507349,0.009345983,9.842943677,0.660497497,0.000139838
0.018109669,0.000892534,0.013547994,0.056315118,0.141457181,1.056743325,0.005270781
0.015490619,0.000605167,2.092305034,0.010577304,179.6283994,1.177416704,0.03259305
0.01532771,0.012179375,0.000240921,0.005664023,143.9212757,0.81105688,0.000642873
0.016927045,0.001085488,2.381633881,5.812661064,25.66699346,1.0688986,0.000235437
0.015755789,0.000563151,0.009508784,1.186793065,582.9415347,1.423433406,0.001652437
0.015710528,0.007466636,0.069083606,1.224968723,124.6306902,1.55576591,0.000423521
0.016706922,0.008697111,0.00331608,0.001848736,16.28827151,0.55492896,5.106519563
0.01560243,0.006465841,0.00175035,0.000266456,0.51954719,0.629651303,0.001224969
0.015136003,0.007553096,0.003862558,2.267905739,8000.644989,0.794365571,0.00510652
0.015624889,0.000921245,5.863068929,0.004820865,1.013036282,0.669485632,0.003573757
0.019184953,0.002235502,3.203502004,0.389605429,1382.372227,1.105060227,0.258151706
0.015867232,0.01316361,0.075967004,0.019082049,0.612174168,0.632933134,6.770566374
0.016988025,0.009345983,0.002032942,1.418649143,1.524491475,0.598376325,0.007381166
0.016835986,0.004990281,0.000203294,0.035943884,0.862233714,1.100473954,0.000395253
0.015359713,0.00117659,0.594805533,0.011902139,30.06941645,1.016862774,0.528597372
0.016097117,0.001104396,0.000487669,0.002863354,5615.32633,1.153185818,0.075530959
0.015733142,0.016101821,0.004711129,0.000499028,162.414575,1.947502257,0.170068938
0.017041868,0.00246533,0.000158718,0.545600802,1791.121306,3.980294006,3.015608786
0.019549885,0.014350763,0.000233413,0.020564824,53.16489984,2.654840154,0.007574867
0.019102343,0.001435076,6.731703824,0.11936445,0.230741122,2.136315906,1.094901372
0.016435197,0.002537319,0.047383267,5.091842949,3.952528408,0.529563282,0.003297046
0.015165424,0.012826997,8.82317717,0.107925731,77.51308107,0.704111104,0.000427194
0.018302146,0.006264335,0.684896584,0.000339332,23.74788844,1.118934045,0.553509399
0.016418657,0.005424691,0.000149408,0.001378399,0.27502679,1.840215852,0.65407116
0.019299818,0.005362595,0.071511354,0.101595624,1282.69972,3.359799172,0.061926281
0.018655652,0.009928302,0.558309477,0.009454205,117.3207957,0.576992711,0.034031023
0.015419481,0.004346353,0.002687664,0.000675111,449.9093306,3.996882054,0.324993743
0.015047002,0.008163474,0.011366454,0.029810894,10.98057291,0.833714308,0.981465414
0.016173708,0.004091429,0.031486544,0.002634056,0.680965328,0.60778164,0.000289651
0.016815414,0.00233413,0.054090999,0.000212263,59.82393831,0.681424158,0.002086292
0.018313996,0.00230078,0.002009671,2.581517063,9.319122058,0.808531003,1.290104826
0.018760601,0.002718786,0.766257962,4.079669672,25.15503929,1.094198892,1.076155427
0.018826832,0.005347182,0.161482327,0.115312132,1666.767409,1.391966991,0.081400112
0.017672204,0.00777365,0.205057189,4.525066855,58.79968507,3.106144615,0.000939994
0.015405071,0.008401851,0.000385146,0.026189367,7.662579617,1.870112421,0.000152889
0.016376202,0.003774635,0.003636009,0.000781853,7553.09592,0.777209263,0.004918979
0.016214472,0.002687664,0.000366754,0.184342299,0.119708503,0.523813447,0.000353285
0.019651383,0.001246307,0.056153263,0.001082368,52.40527448,1.679317478,0.357375684
0.016530032,0.000613939,0.000489074,2.863353712,0.338356871,1.351325289,0.000284692
0.019014619,0.009899768,0.007531388,0.000101888,0.160093979,1.035534055,0.113012114
0.016741803,0.009212447,0.010761554,0.023884986,9842.943677,1.421215177,7.48815801
0.015904935,0.000816347,0.119021385,0.000105166,21.84615446,2.358100163,0.037855152
0.019294266,0.000655956,0.005255633,7.684666063,0.723394163,1.798600781,0.000942703
0.016890562,0.000628239,0.185940931,1.564497956,142.2738225,0.879115727,0.000652191
0.016682907,0.001088617,0.144336111,0.000228757,54.24690937,1.759755506,0.031668318
0.017372282,0.010949014,2.032942054,9.591245336,0.325930498,1.012116246,0.009292338
0.018443533,0.011107722,0.000176046,0.00797765,6751.107135,0.515707524,8.499140331
0.017500192,0.003636009,0.000236796,0.004198798,659.7433175,0.554064178,0.024441339
0.016534788,0.002287573,4.848696492,0.137839916,452.5066855,1.117190337,0.060691099
0.019393042,0.002354372,0.013354419,0.001098057,3.16683182,0.53788699,0.000141457
0.018198453,0.009842944,0.08000645,0.008772533,0.353284839,3.495199974,0.000591391
0.016930697,0.00797765,0.308585134,0.012039959,852.3638061,2.377796089,0.003231283
0.019195994,0.008572846,2.361157731,0.959124534,3532.848387,1.215984636,0.00011044
0.016448205,0.006809653,0.061748299,0.080932881,187.5534253,1.379002431,0.151138463
0.018220717,0.000897687,0.005519186,1.217937493,279.0133606,3.419712403,2.203560608
0.019823143,0.007296675,0.23007795,0.255196668,0.146007445,0.567178598,1.190213851
0.015223341,0.003998297,5.255632626,0.023408576,0.859755574,1.827821262,8.925344747
0.015305679,0.009239001,0.017503504,0.000713058,133.1603721,1.500168963,0.000690836
0.01762017,0.013863567,0.049189794,0.165720029,0.500466486,0.613495642,1.120404901
0.017205663,0.008523638,0.107925731,9.2390007,1992.392967,2.173281416,0.047656813
0.019191853,0.001578065,0.248670919,3.58405776,6809.653281,0.522997154,0.077068162
0.015573282,0.004396681,0.003522695,0.143507633,0.563151182,2.052489725,0.053471824
0.015296875,0.0008187,0.005440327,3.796426533,6300.499769,3.553830811,0.010886167
0.01896136,0.001173208,0.08210602,0.00099283,522.5465683,1.052904801,4.848696492
0.019209805,0.007841064,0.093729219,0.302430091,31.6683182,1.114290193,0.000194144
0.015170878,0.009563679,0.65407116,0.387369123,308.5851338,0.951895429,0.079547219
0.016020889,0.001358704,0.001661977,0.536259501,825.800231,0.835449772,0.048907448
0.016193495,0.000895107,0.003532848,5.347182415,0.113992164,2.695167618,3.45243094
0.017924372,0.005680349,0.000111397,0.01169836,27.58195211,1.305068018,0.302430091
0.018219407,0.000738117,0.011139739,0.127533712,19.98135795,1.85269449,0.000210438
0.018035581,0.001854065,0.018275741,2.596420324,0.175539558,3.604064923,0.001197085
0.01650746,0.016194778,2.388498649,5.033557105,0.23007795,1.736130024,0.000125711
0.017114336,0.00063005,0.000301561,0.010669032,14.10506202,3.641732615,0.009427032
0.018237761,0.001542144,2.814329869,0.000456431,1275.337119,0.825090915,0.001859409
0.015076249,0.008426069,0.012680168,0.000537805,1.410506202,0.604001903,0.003796427
0.017116798,0.00530121,0.015244915,0.071717477,0.310366615,2.638329951,0.275819521
0.01587979,0.016055543,0.000102182,1.320155228,5.378052036,0.807271016,3.604748751
0.016744212,0.001036633,2.110449672,0.01347023,295.5459416,0.844181431,0.772903012
0.016670913,0.000584622,0.045120614,8.797818537,0.294696515,1.559815076,0.001647688
0.016646951,0.004697589,2.913231519,0.326869953,293.0049788,3.442901723,0.162882715
0.018925936,0.003472362,0.018381248,0.218461545,61.39386855,1.073353281,0.000499028
0.015438345,0.011333786,9.481455258,0.897687132,1.472736329,1.128866592,0.00016572
0.016011674,0.000610415,0.149408395,0.001947041,243.7109261,0.664285349,0.000112363
0.017412309,0.008823177,0.087725328,0.000149839,0.201546379,3.32159229,0.001801462
0.019956177,0.007574867,0.001542144,4.59065864,2.241945237,2.717678884,0.001755396
0.015183977,0.001024767,0.000250107,0.000121095,1.203995878,2.006074243,0.000250827
0.019977717,0.009730272,0.021972274,0.001524491,117.6589586,3.017021547,0.014769813
0.018830894,0.000797765,0.001578065,0.006447257,0.334483732,0.74671261,0.006503168
0.018693258,0.007110088,0.000913324,0.00157353,3.015608786,1.889657801,0.002248407
0.016327984,0.001838125,0.165720029,0.001214437,8722.179097,1.486196627,1.859409305
0.015448342,0.006770566,0.063918268,0.014769813,6829.281272,1.549309097,0.001335442
0.018740373,0.012005355,0.000167157,3.015608786,45.38109806,3.524393474,0.004512061
0.017216804,0.01537712,0.127167168,0.544032694,6.373456118,1.917364997,0.002437109
0.015668777,0.002159608,0.119708503,0.001843423,6578.471537,1.536475753,7.296674952
0.015775065,0.001952653,0.160093979,0.020446784,8.572845561,2.121926964,1.305043536
0.017188348,0.000642873,0.03297046,0.000288818,5.965199874,0.594346021,0.063186602
0.015151251,0.005519186,0.031942948,0.009646616,180.6654054,2.898637655,0.913324273
0.019756249,0.003720703,0.003742183,0.000641025,12.03995878,1.062803585,0.000212875
0.017838208,0.007931859,0.001327777,0.723394163,35.73756843,3.325047614,0.000170559
0.018108367,0.000800064,0.0009239,0.085975557,0.499028099,1.385469547,0.013239604
0.01971934,0.00070287,0.004358881,0.001460074,5.647743963,3.333701659,0.000319429
0.017303699,0.002044678,0.000835363,0.002216282,1.760455291,0.64154617,0.00918597
0.016447022,0.001249899,0.000598239,0.138237223,400.9821129,1.768008242,0.000217834
0.017756289,0.001460074,0.00222267,0.04711129,892.5344747,3.294078647,0.342274859
0.019620314,0.000835363,0.000150271,0.584621792,137.8399161,1.360488725,0.000165244
0.016942879,0.001113974,0.019695862,1.875534253,3287.569934,0.861471516,0.000740244
0.019481111,0.008548206,0.051508037,0.001730314,28.2244183,1.361196173,1.930300841
0.016104065,0.000948146,9.292338033,0.101303628,10.91754523,2.658983823,0.016812218
0.018845798,0.000804683,3.482370699,0.342274859,3212.735706,1.10851247,0.006121742
0.018097951,0.014064523,5.165650272,0.001992393,65.97433175,3.034323701,0.507720852
0.019610439,0.000937292,7.423778405,0.072547926,18.54065189,2.596152265,0.089768713
0.019987777,0.001354799,0.001169836,0.837770377,2649.262548,1.433085812,0.000358406
0.018980461,0.004848696,0.000373143,0.020096712,1.126873069,0.677186445,0.002530026
0.017195767,0.00403297,0.247243567,0.010456227,5.195471897,0.889227826,0.093191221
0.018113577,0.00766258,0.003103666,0.001279013,32.21996023,0.828098909,3.094745927
0.019776151,0.015780654,0.01564498,1.085487933,2.472435667,3.922776119,0.000169093
0.015247448,0.00132396,0.000862234,1.582613988,1098.057291,2.62738023,0.000237479
0.016775552,0.001507041,0.576268658,0.005487506,0.121443703,2.697971297,0.069083606
0.015770527,0.010854879,0.879781854,1.358704457,476.5681344,0.669137684,0.000171544
0.017767786,0.008848609,0.029216286,3.625559192,0.171050757,1.109088892,0.696827048
0.015036184,0.016429525,0.017859735,0.000130504,0.116983605,0.503783229,0.487668832
0.016953849,0.002340858,0.263405598,0.019027205,3.742182815,1.685439685,0.000274236
0.015565444,0.003742183,0.074451765,0.000704896,36.99346402,3.326776624,0.003975347
0.016389163,0.001755396,0.132396041,0.939993824,1.149807137,1.05126399,0.017503504
0.017697642,0.005999637,0.00289651,0.023543715,1.398379343,2.981162464,0.048486965
0.017612568,0.000975832,0.085975557,0.000195265,2086.291555,1.164027385,0.063918268
0.017292502,0.004961637,0.061926281,0.000148979,1.312577635,2.953396388,4.09142882
0.019061172,0.000970231,0.000111077,0.009618891,3.774635326,0.6580983,0.000449909
0.018299513,0.004210901,1.633522046,8.474713009,0.238849865,2.707807162,0.000104864
0.019352636,0.01214437,1.864768825,0.624633108,33.256382,1.442803672,0.039753466
0.015967974,0.008925345,0.049759385,0.075313876,0.100432668,0.94253951,0.006391827
0.016691308,0.003076982,0.002742363,1.228499545,882.317717,3.89838074,0.381834354
0.01985025,0.000854821,0.112687307,0.009814654,29.89682023,0.656731245,0.015465893
0.015190531,0.001279013,0.024092119,0.054090999,4.460412251,0.94058159,0.001848736
0.018603398,0.001257115,0.131636098,0.000231406,0.127533712,0.562480505,0.05456008
0.019237456,0.001447521,0.002068355,0.027031802,159.1750518,2.858235916,0.012109466
0.015442787,0.016148233,1.859409305,0.061748299,4.210900698,1.577756974,0.016860677
