d1,k1,d2,k2,Kd,n,k3
0.01654371,3.01416253,0.001107049,0.1650061,2780.780227,0.727238257,0.170150541
0.019671887,2.696704335,0.039430595,0.000406599,0.146498552,0.848802023,0.003267132
0.018163366,0.035686175,0.000986658,3.973440066,0.216687238,2.380888403,0.001102808
0.016553231,9.458740991,0.002536102,0.005527134,0.924343376,2.738716629,2.251645417
0.015790389,0.112417347,0.122320712,2.58523484,0.366578227,1.203720131,0.000181621
0.015032399,2.738419634,0.043903587,0.128085509,2.217345319,1.653473587,0.008365656
0.016029917,0.169498815,1.069465223,0.041288902,95.6826805,1.696427764,0.017344695
0.017762037,0.125651208,0.120920518,0.849506423,4.241309839,2.843169283,0.38979237
0.017133014,1.650061001,0.00246888,0.000383855,0.477712567,1.24444287,2.00678109
0.015650194,1.090184492,3.408003248,0.027914724,3.447466066,2.65461014,0.18443075
0.016488277,0.120920518,0.031805337,0.468633503,0.26556245,0.94115223,0.008462526
0.017095268,3.132083512,1.415250553,0.076589047,93.50467678,2.792389129,3.596113027
0.016581828,7.658904719,2.077303726,9.495109992,1336.082677,0.658155322,0.000152815
0.018144217,0.340800325,0.340800325,0.07571234,0.910262532,2.488885739,0.047771257
0.017648283,0.164374079,0.094225113,8.019857778,4.323478796,0.62049866,0.020693471
0.019749382,1.045121222,0.452723807,0.001132835,442.4185554,1.114579868,0.008238219
0.016401544,0.113719079,0.000295688,1.351553786,0.249746839,2.676782651,0.000188004
0.015840437,0.580987337,3.514255501,0.538063253,5.021498454,3.780298088,0.000485102
0.019204049,3.474028151,0.000477713,0.000470435,16.50061001,1.113807568,1.315729665
0.018500881,2.183567726,0.000424131,0.000481393,1.124173474,0.621790293,3.751169311
0.016131693,1.172645298,1.872837083,0.002375928,35.68617493,0.601443033,0.059452027
0.015829807,6.878599123,0.01367204,0.001504874,0.172782598,1.03634187,0.315621563
0.019266764,4.097321098,0.000324215,1.38835331,2412.681533,0.813097351,0.420888119
0.019787295,0.042576177,1.275949051,0.004097321,0.329230453,3.139424245,0.001637445
0.015936424,2.676085593,0.362382041,0.449262325,0.252638771,2.686075767,1.2710618
0.016079182,0.06273357,0.000122791,0.000290068,0.275951865,2.562407632,0.000728618
0.018627274,0.054429373,0.006321692,2.934269504,8.301692956,2.094346283,0.013258671
0.01739291,0.180925591,0.000654385,0.000109018,0.35142555,1.648895535,7.065886657
0.015867802,3.973440066,1.057223156,7.370551753,494.5004221,2.100161102,0.292303041
0.01954028,9.679063372,0.012710618,0.000982879,104.1118108,3.878503222,4.356790396
0.015413383,5.765451635,0.000220885,0.18443075,0.29342695,3.254644571,0.00020773
0.018343656,6.619624175,0.073705518,0.000865964,169.4988151,0.744580635,0.148194926
0.016371688,1.768072218,0.12326317,0.355494866,38.38545268,1.394260369,0.007370552
0.016502513,0.187283708,1.2710618,0.417670049,1.72120791,1.550249044,1.872837083
0.015015111,1.420692213,1.261343383,4.475415208,1.991437435,1.051537281,0.000343426
0.018698861,0.158185498,4.597269885,0.051384642,18.23195891,1.882304459,0.002665835
0.018074754,1.72120791,2.03001852,4.241309839,3.500794892,0.557289934,0.000412889
0.015526125,5.991009386,5.360023165,0.336899216,28.78502869,1.456494244,1.124173474
0.015313202,4.475415208,0.157579602,0.00360994,33.43233167,0.642380498,0.506018817
0.01980438,9.90451772,0.001001921,0.627335696,45.62119602,1.093914514,0.002053525
0.016159561,0.134637695,0.000154585,0.000439036,4.632690995,1.847404772,0.041447658
0.017334632,1.774870482,0.3988718,0.000181621,230.4092976,1.378882955,0.024126815
0.018499107,0.111986757,2.11754834,0.000477713,0.170150541,0.612805011,0.583221242
0.016307446,0.956826805,0.025167109,0.00048884,294.5551814,0.766575609,3.156215633
0.017584091,1.688495859,0.920802875,0.533949274,1.057223156,1.509949186,0.000205353
0.015566377,0.1650061,0.001887267,0.318053369,193.1227039,0.565461224,0.002856494
0.01681239,2.991116533,0.000166277,0.527837207,114.5952633,2.382539281,0.013056697
0.019517807,0.629747811,0.006468943,3.394949616,0.917275935,0.584591193,0.000395822
0.015606732,1.132835021,0.000243127,2.150304679,3.108135903,0.79746881,0.080816493
0.015055481,8.269895086,0.147061842,0.00339495,17.54553708,1.783238908,0.00360994
0.018130303,2.748948899,4.458273081,0.57433683,11.41563305,0.855891604,0.031200867
0.015717874,0.054848741,0.234873129,4.777125675,41.92759967,2.502725388,0.001090184
0.017548716,8.050694251,3.927956474,2.856494113,8.23821901,2.136871271,0.001242129
0.01704289,5.19796479,9.386420367,0.000296825,17.01505406,2.444433233,8.929627309
0.016352859,0.048696753,0.000115478,0.015222991,19.16461063,2.367722491,0.000119078
0.017609402,0.106128819,0.25556419,0.000270707,10.86008772,3.90277421,0.009422511
0.018611205,0.090330275,0.244061907,1.186223891,0.294555181,2.937319093,0.007958539
0.019285249,1.065368864,0.862647431,0.060836843,23.12952248,0.856485068,0.01612501
0.015282396,5.699455056,0.006083684,0.003192763,43.23478796,1.367461296,0.072027775
0.017015129,3.487385841,0.011241735,0.003568617,352.7767866,0.787035164,0.015048735
0.019932031,0.284555292,0.000378007,0.000427399,4.097321098,0.529058808,0.014261548
0.019385372,3.958220648,1.290723845,0.001290724,171.4615189,3.281828843,0.096790634
0.016480373,4.373542321,0.215030468,0.580987337,29.45551814,0.521413557,0.004869675
0.016319962,2.823796095,0.02478373,9.422511294,0.250707119,1.360842403,0.000106537
0.015731445,0.196864164,0.001534028,0.132078867,2.7279307,3.232163099,0.000391291
0.017535258,0.649381632,0.000817523,3.882993528,8.143916897,1.523616694,0.519796479
0.017337957,0.241268153,0.004208881,0.003002617,1.218521884,0.600609833,0.000131573
0.015475586,8.081649291,0.542208931,0.000118168,0.267608559,0.775124522,0.023577622
0.019863341,4.888399226,7.807284401,0.00198381,346.0721624,2.089995738,5.319040944
0.018568421,0.062974781,0.000185852,0.672202309,8.62647431,2.162200036,0.001021331
0.01949723,0.073423204,0.018162125,0.008050694,10.09640276,0.626549327,0.00401945
0.016231001,0.548487414,0.014098297,0.6037169,325.4617835,1.476826146,0.002727931
0.018808561,0.078674381,0.009531619,0.028455529,1.077705254,2.379238668,0.000127106
0.018029745,3.22973334,0.000138835,1.551791374,1341.219935,0.553440451,4.964017837
0.017794429,4.356790396,0.020773037,0.54638655,2.431270795,0.54092482,0.092434338
0.017404589,1.325867118,0.002150305,0.401945033,0.513846418,0.564677871,0.016884959
0.019370506,0.279147237,0.023129522,0.009422511,380.919612,0.590291716,7.542233958
0.019344519,6.826006015,0.001213855,9.753638756,356.8617493,0.677597285,0.013157297
0.018951589,6.037169,0.128085509,0.000249747,1.534028165,2.569521992,0.003084371
0.018803151,3.356087949,0.000924343,0.002053525,268.6375182,1.791912262,0.001448216
0.015025193,1.367204041,0.000389792,0.000412889,2.321845584,0.542050811,0.064194822
0.015890643,0.176129999,0.0006985,0.000302575,11.9078494,1.258320997,0.507964467
0.016002272,3.823842537,0.000703882,7.011861566,15.1646829,1.785712717,0.001057223
0.016650343,3.722488231,0.203001852,0.00394306,4.888399226,1.23756131,2.431270795
0.017811501,0.4851023,0.007258274,3.060788587,184.4307504,0.756546152,0.771791516
0.018380634,2.053525026,2.555641901,0.674786937,2.555641901,1.283870776,0.014537844
0.015532082,0.166916781,5.060188166,0.000445827,33.17671128,0.782140665,0.000222587
0.018428285,1.305669723,0.004777126,9.56826805,3.541332187,2.708511094,0.190180799
0.01707397,0.130066863,0.027595186,0.119078494,16.82028435,2.949560497,1.727825981
0.019602213,6.77381503,0.233077312,0.092434338,140.9829737,2.91905218,0.0004945
0.019181963,1.209205183,0.003651741,0.001336083,23.48731289,3.053576524,0.000180926
0.018725777,0.153402816,0.000629748,9.350467678,0.344746607,2.331890428,1.204573579
0.017639824,2.565468383,0.001069465,0.745589872,540.1321148,1.061791134,0.429042189
0.018900772,0.385330453,0.427398834,0.000280221,120.4573579,1.90858045,0.000896396
0.019615376,0.047043541,0.000338195,0.005442937,3.408003248,1.109954086,0.069050474
0.018723981,3.060788587,0.639489375,0.032671319,59.22430869,2.293419072,3.882993528
0.015136548,0.354133219,4.290421892,0.001442669,38.82993528,2.395787582,0.050214985
0.016500931,0.523801414,1.102808234,0.669627581,1.19078494,2.151734386,0.000241268
0.019218787,0.695824955,0.035549487,0.000331767,0.12956867,0.77781556,0.000382384
0.018278687,4.257617739,3.541332187,0.001976211,9904.51772,0.596461118,0.303738609
0.018605851,0.133608268,0.006747869,0.529866749,1.065368864,0.546578266,0.005278372
0.01994159,1.844307504,3.394949616,1.953589594,3.460721624,0.530160099,4.907195194
0.019686984,1.714615189,2.6556245,0.004323479,1.094376268,2.097251677,0.021338637
0.016830134,0.257533265,0.034740282,0.000232185,0.622539148,1.00521214,0.067220231
0.015330834,0.417670049,0.757123396,6.594269111,5.945202704,1.013608129,0.002243021
0.018031474,1.377738094,0.004527238,0.025458531,37.65592613,0.778354887,0.252638771
0.015834362,0.070658867,0.405041945,0.012808551,1.223207119,0.846451904,0.128085509
0.018547066,0.346072162,0.009942601,0.002717482,157.5796023,1.170804341,0.262522582
0.017118234,1.35675053,1.453784386,0.000369403,4340.102636,0.609838864,0.132078867
0.015884549,0.144821597,0.56776245,0.000358234,9.82878873,0.879953992,0.171461519
0.019363078,0.158793724,0.000470435,0.002030019,54.63865499,0.883008971,0.001938653
0.018382396,0.203782397,1.551791374,0.049071952,11.02808234,2.352997846,0.801985778
0.016108505,4.562119602,0.005442937,3.108135903,25.55641901,2.061222149,0.078976885
0.018960678,0.517805509,0.342110707,0.544293732,199.9094542,1.565365984,2.575332647
0.015269212,2.286476103,0.002856494,0.007542234,0.617779273,1.631840441,0.000316835
0.018855514,0.698500412,0.00134122,0.011241735,17.95422513,1.084853325,0.000219196
0.018962496,1.150358838,0.000685225,4.597269885,0.123737119,0.792509426,0.258523484
0.016366979,0.050022647,0.018728371,0.031081359,0.156976027,0.525040275,0.245942358
0.017289808,1.330965097,0.055059636,0.000569946,8.430111782,0.919868793,0.00046505
0.015213673,0.072861817,0.210135777,0.316835133,6.79986045,0.711285175,5.021498454
0.019148882,0.214206839,0.002867477,2.676085593,0.261517045,0.733820951,0.035007949
0.017520131,6.44416522,0.014152506,0.147061842,318.0533688,2.108913614,0.000165006
0.019305602,0.042088812,0.012138546,1.053173687,3.694026444,0.799128825,0.000272793
0.015285327,3.447466066,1.383035518,0.122791037,6.037169,2.377590077,0.000592243
0.019459873,5.158221651,0.000110705,0.058322124,1213.854595,0.962260891,0.011028082
0.017253371,8.39782203,0.025852348,0.470435406,70.11861566,1.196234308,0.006878599
0.019178285,0.307255737,0.088613522,0.262522582,6.321692009,0.96828255,0.013883533
0.017753523,5.591135276,0.000221735,0.208529099,472.2442369,0.592751782,0.010331578
0.018523959,2.321845584,0.055697196,0.28237961,3.514255501,0.887303768,0.01476273
0.018310265,0.038238425,0.411307536,0.004458273,1.51065978,0.68136512,0.045272381
0.01587389,0.134121994,0.754223396,3.072557365,45.27238074,0.946385582,0.001195364
0.019364935,4.458273081,0.015340282,0.502149845,9.067759646,2.362804066,0.01448216
0.018125088,2.061420861,0.004113075,0.130566972,7.038822279,2.218369982,0.028564941
0.015480039,0.11726453,0.00118168,7.658904719,1.761299993,1.498480178,0.000314413
0.01765844,0.139905031,0.010096403,0.003868121,0.148764737,1.290115293,1.399050314
0.018151178,0.391291127,4.373542321,0.027489489,1013.522358,0.560388789,0.00971628
0.018191256,0.128085509,1.163679365,5.079644666,0.363775405,0.591110601,0.004208881
0.017562183,1.522299133,0.072582736,0.000552713,531.9040944,1.027045431,2.093308965
0.017085435,0.45621196,0.001844308,0.007065887,0.754223396,1.084101623,0.000481393
0.016122414,2.707073204,3.02575203,0.000587715,120.9205183,3.621280674,8.692939692
0.01571034,0.975363876,0.002200392,0.005178055,7.629568912,1.52467315,0.073988916
0.018109452,5.56971962,0.000103316,0.044754152,14.4266889,2.511414222,0.000931465
0.017210407,0.162492505,0.001575796,0.000111987,43.90358656,2.647260191,0.005991009
0.018451273,1.587937238,0.003838545,0.000723047,94.95109992,1.606031289,0.002412682
0.017466451,1.662774415,0.039734401,0.001694988,3.609940136,1.106880902,0.437354232
0.016770525,0.856051712,1.256512076,0.200678109,134.1219935,2.612624884,0.00212569
0.017656747,2.945551814,0.010943763,3.292304533,295.6877505,0.697613566,0.43567904
0.016949988,3.02575203,0.352776787,0.278078023,347.4028151,1.789429865,0.316835133
0.016324657,0.147061842,0.019990945,0.000531904,122.7910369,1.315398564,0.001612501
0.015864759,0.641948222,0.01931227,0.033432332,0.206934706,0.957603281,6.90504744
0.017663521,0.171461519,7.258273574,0.007747591,0.739889164,1.895396922,0.001961101
